xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.753114        0.00170        0.800        0.00166        0.00181        0.800        0.800        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        8.36        0.04        0.99        0.033        0.006        7.00        1.27        8.00        4.29         5        3.10        3.25        3.46        0.00        0.00        0.960        8.7695        1.09        0.28        0.2        0.0        0.000        0.00        0.00        1.06        0.38        0.4        1.38        2.29       -0.80        1.74
1.753114        0.00170        0.700        0.00170        0.00176        0.700        0.700        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        7.18        0.04        0.99        0.029        0.005        6.00        1.21        7.00        5.00         5        3.14        3.24        3.61        0.00        0.00        0.965        7.8138        1.09        0.29        0.2        0.0        0.000        0.00        0.00        1.06        0.40        0.4        1.41        1.73       -0.61        1.56
1.590455        0.00360        1.000        0.00355        0.00386        1.000        1.000        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        7.50        0.06        0.99        0.060        0.009        9.00        1.24       10.00        3.33         4        3.01        3.18        3.39        0.00        0.00        0.948        6.7962        1.09        0.63        0.2        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.53        2.10       -0.79        1.67
1.590455        0.00350        0.900        0.00336        0.00364        0.900        0.900        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        6.75        0.06        0.99        0.053        0.009        8.00        1.30        9.00        3.75         4        3.01        3.17        3.49        0.00        0.00        0.953        6.3744        1.11        0.64        0.2        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.52        1.79       -0.56        1.56
1.590455        0.00330        0.700        0.00332        0.00391        0.700        0.700        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        5.17        0.06        0.99        0.040        0.007        6.00        1.14        7.00        5.00         4        3.01        3.15        3.79        0.00        0.00        0.963        5.2718        1.12        0.63        0.1        0.0        0.000        0.00        0.00        1.08        0.43        0.4        1.56        0.95       -0.39        1.28
1.590455        0.00170        0.900        0.00155        0.00178        0.900        0.900        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        9.58        0.04        0.99        0.037        0.007        8.00        1.50        9.00        3.75         5        3.06        3.25        3.38        0.00        0.00        0.954        9.2937        1.11        0.32        0.2        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.45        2.81       -1.05        1.90
1.590455        0.00170        0.800        0.00164        0.00179        0.800        0.800        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        8.35        0.04        0.99        0.033        0.006        7.00        1.51        8.00        4.29         5        3.11        3.25        3.48        0.00        0.00        0.959        8.4299        1.12        0.34        0.3        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.48        2.21       -1.06        1.72
1.590455        0.00100        0.800        0.00091        0.00100        0.800        0.800        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       11.02        0.03        0.99        0.025        0.005        7.00        1.82        8.00        4.29         6        3.15        3.31        3.41        0.00        0.00        0.959       11.2247        1.11        0.13        0.3        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.43        3.14       -1.58        2.03
1.590455        0.00060        0.700        0.00060        0.00069        0.700        0.700        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       11.81        0.03        0.99        0.018        0.004        6.00        1.80        7.00        5.00         7        3.24        3.37        3.49        0.00        0.00        0.965       12.5587        1.12        0.01        0.3        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.45        3.23       -1.76        2.09
1.442888        0.00170        0.900        0.00150        0.00173        0.900        0.900        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        9.56        0.04        0.99        0.037        0.007        8.00        1.88        9.00        3.75         5        3.08        3.25        3.41        0.00        0.00        0.953        8.8582        1.14        0.39        0.3        0.0        0.000        0.00        0.00        1.09        0.39        0.4        1.61        2.66       -1.34        1.85
