xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_p    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.600667        0.01130        1.247        0.01053        0.01201        1.191        1.302        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0        5.34        0.11        0.99        0.132        0.040       11.46        4.92       12.46        2.62         2        2.47        2.86        3.33        5.22        1.09        0.933        2.5682        1.62        0.29        1.2        0.4        0.135        1.32        0.69        1.34        0.75        0.7        0.40        1.15       -1.49        1.30
0.494374        0.01150        1.290        0.01154        0.01358        1.210        1.369        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0        5.48        0.11        0.99        0.139        0.042       11.89        5.28       12.89        2.52         2        2.50        2.86        3.33        5.55        1.07        0.931        2.1787        1.77        0.57        1.6        0.3        0.127        1.38        0.77        1.41        0.86        0.9        0.51        1.12       -1.68        1.30
