xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2         mu             p            q            delta        ms           alpha_v      kappa_BP       lambda_BP   Omega_star   E           x_SM        x_A
0.204336        0.04009        0.04531        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.04042        2.279        5.329        0.983        0.458        0.201        0.53159        2.38        0.879        1.57        3.55        0.00
0.137382        0.04003        0.04545        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.04223        2.279        5.210        0.983        0.468        0.206        0.35945        3.23        0.878        3.08        3.83        0.00
0.062102        0.05374        0.05974        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05599        2.824        5.633        0.979        0.668        0.237        0.16320        5.66        0.850        7.08        3.88        0.00
0.041753        0.05442        0.05807        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05442        2.552        5.149        0.980        0.595        0.233        0.10730        8.72        0.864       12.50        4.59        0.00
0.041753        0.00568        0.00655        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00585        2.552       15.814        0.987        0.195        0.077        0.33105        9.24        0.871       13.53        4.41        0.00
0.041753        0.00846        0.00933        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00850        3.641       18.934        0.986        0.336        0.092        0.31616        7.38        0.822        9.68        4.09        0.00
0.041753        0.05707        0.06089        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05853        2.824        5.506        0.978        0.683        0.242        0.10878        8.20        0.850       11.39        4.11        0.00
0.028072        0.07541        0.08272        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07724        3.914        6.650        0.969        1.088        0.278        0.06718        5.36        0.792        6.08        3.60        0.00
0.028072        0.00784        0.00899        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00796        3.369       18.059        0.986        0.301        0.089        0.21953       11.89        0.834       17.35        4.35        0.00
0.028072        0.00164        0.00186        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -0.5       -0.5       -0.5       -0.5         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00171        2.824       32.558        0.987        0.117        0.041        0.43951       13.08        0.859       19.97        4.57        0.00
