xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.494374        0.00840        1.364        0.00841        0.00992        1.338        1.443        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        6.77        0.09        0.98        0.125        0.023       12.64        3.01       13.64        2.37         3        2.90        3.05        3.80        5.77        1.10        0.920        2.3769        1.66        2.13        1.3        0.4        0.143        1.34        0.78        1.36        0.85        0.8        0.30        1.13       -1.47        1.34
0.186710        0.04670        2.365        0.04377        0.04800        2.336        2.567        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        5.04        0.22        0.96        0.511        0.060       22.65        2.28       23.65        1.32         2        2.86        2.97        4.09        9.22        1.16        0.854        0.5646        2.52        5.47        2.6        0.5        0.187        1.72        1.59        1.74        1.67        1.8        0.27        1.06       -0.82        1.31
0.126477        0.04470        2.229        0.04467        0.04687        2.170        2.405        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        4.84        0.21        0.96        0.471        0.059       21.29        2.80       22.29        1.41         2        2.86        2.96        4.49       10.67        1.16        0.861        0.3874        3.50        7.07        4.5        0.7        0.270        2.01        2.15        2.12        2.70        2.7        0.36        0.84       -0.96        1.24
0.126477        0.00020        2.389        0.00016        0.00017        2.278        2.500        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       87.92        0.01        0.99        0.031        0.008       22.89      -11.47       23.89        1.31        12        3.32        3.40        3.44        3.85        1.07        0.877        8.0269        3.91        4.60        7.2        0.8        0.322        2.12        0.81    59425.82   112122.80   112122.8        0.48       10.58      -24.31        4.58
0.114742        0.49390        1.278        0.49393        0.59624        1.272        1.308        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        0.74        0.70        0.88        0.898        0.135       11.78        3.87       12.78        2.55         1        2.70        2.87        4.61       18.28        1.13        0.829        0.1353        3.60       11.15        5.0        0.1        0.053        2.07        3.79        2.10        4.56        4.6        0.30        0.53       -0.35        1.12
0.085676        0.63900        1.852        0.57699        0.70107        1.638        1.960        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        0.91        0.80        0.83        1.481        0.205       17.52        3.65       18.52        1.71         1        2.75        2.91        4.39       17.53        1.27        0.759        0.1178        3.78       13.75        4.3        0.2        0.067        2.21        3.89        2.25        4.80        4.8        0.18        0.91       -0.32        1.22
0.077726        0.00030        3.627        0.00034        0.00036        3.605        3.778        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       93.60        0.02        0.99        0.067        0.019       35.27       -9.41       36.27        0.85        10        3.29        3.39        3.42        3.87        1.11        0.820        4.8344        5.33        6.84       10.4        2.2        0.514        2.53        0.98    31055.81    44759.09    44759.1        0.36       11.79      -21.77        4.94
0.070515        0.00070        4.147        0.00071        0.00071        3.910        4.384        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       74.80        0.03        0.98        0.111        0.029       40.47      -10.65       41.47        0.74         8        3.26        3.36        3.52        3.89        1.15        0.796        3.3498        5.55        7.25       10.2        0.1        0.031        2.64        1.03     8732.52    13797.86    13797.9        0.31        9.82      -15.79        4.25
0.058037        0.00120        4.909        0.00116        0.00125        4.793        5.255        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       67.54        0.04        0.98        0.172        0.045       48.09       -6.36       49.09        0.62         7        3.25        3.34        3.41        3.95        1.15        0.764        2.4200        5.89        7.86       11.2        0.1        0.070        2.78        1.10     4614.21     7846.73     7846.7        0.24        9.92      -12.34        4.26
0.058037        0.00080        4.702        0.00073        0.00080        4.322        5.083        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       80.58        0.03        0.98        0.132        0.036       46.02       -3.29       47.02        0.65         8        3.26        3.35        3.50        3.87        1.17        0.773        2.9455        6.12        8.05       11.5        0.2        0.095        2.80        1.08     8930.74    13111.99    13112.0        0.26       11.33      -15.68        4.73
0.058037        0.00050        4.496        0.00054        0.00056        4.176        4.816        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       92.42        0.02        0.99        0.105        0.030       43.96       -2.60       44.96        0.68         9        3.29        3.38        3.41        3.89        1.16        0.782        3.4290        6.28        8.22       12.1        2.0        0.501        2.80        1.09    20939.22    28697.98    28698.0        0.28       12.41      -18.85        5.13
