xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
10.000000       22.35500        0.265       21.194338       23.847315        0.265        0.265        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        0.03        4.73        0.98        1.253        0.511       25.50       11.70       26.50       11.76         0        1.93        3.02        3.08        0.00        0.00        0.98        1.3431        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.89        1.13       -0.01        0.92
7.906043        0.23900        1.592        0.227067        0.250943        1.592        1.592        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.62        0.49        1.00        0.778        0.053      158.20        1.98      159.20        1.90         1        2.31        2.69        3.58        0.00        0.00        0.99        4.6870        1.03       -0.95        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.01        1.13       -0.04        0.98
7.906043       20.74760        0.265       20.277389       21.217793        0.265        0.265        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        0.03        4.55        0.98        1.207        0.520       25.50       15.03       26.50       11.76         0        1.94        3.00        3.09        0.00        0.00        0.98        1.1298        1.04       -0.91        0.0        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.92        1.15       -0.02        0.94
6.250552       19.48180        0.265       18.535991       22.319330        0.265        0.265        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        0.03        4.41        0.98        1.170        0.521       25.50       18.85       26.50       11.76         0        1.96        3.04        3.19        0.00        0.00        0.98        0.9392        1.06       -0.88        0.1        0.0        0.000        0.00        0.00        1.04        0.05        0.0        0.94        1.16       -0.03        0.95
6.250552        0.27120        2.122        0.258075        0.284319        2.122        2.122        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        2.02        0.52        1.00        1.105        0.085      211.20        1.91      212.20        1.42         1        2.35        2.70        3.16        0.00        0.00        0.99        5.0928        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.02        1.61       -0.12        1.01
6.250552        0.26440        1.857        0.249319        0.279443        1.857        1.857        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.79        0.51        1.00        0.955        0.075      184.70        2.95      185.70        1.62         1        2.35        2.70        3.35        0.00        0.00        0.99        4.7255        1.04       -0.92        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        1.02        1.32       -0.15        1.00
6.250552        0.25340        1.857        0.240780        0.266078        1.857        1.857        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.83        0.50        1.00        0.935        0.073      184.70        2.91      185.70        1.62         1        2.33        2.69        3.36        0.00        0.00        0.99        4.7511        1.04       -0.92        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        1.02        1.34       -0.13        1.00
6.250552        0.25150        2.122        0.224683        0.255353        2.122        2.122        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        2.10        0.50        1.00        1.064        0.081      211.20        1.85      212.20        1.42         1        2.32        2.67        3.16        0.00        0.00        0.99        5.1409        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.02        1.65       -0.09        1.00
6.250552        0.23600        1.592        0.225733        0.246352        1.592        1.592        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.63        0.49        1.00        0.773        0.061      158.20        3.99      159.20        1.90         1        2.32        2.69        3.66        0.00        0.00        0.99        4.2755        1.05       -0.90        0.1        0.0        0.000        0.00        0.00        1.03        0.05        0.1        1.02        1.07       -0.14        0.99
6.250552        0.30040        2.122        0.292974        0.322767        2.122        2.122        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.92        0.55        1.00        1.163        0.091      211.20        2.00      212.20        1.42         1        2.40        2.72        3.22        0.00        0.00        0.99        5.0517        1.03       -0.94        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.02        1.53       -0.14        1.02
