xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.006654        0.19710        9.689        0.170059        0.199914        9.302       10.076        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0       10.79        0.44        0.99        4.302        4.459      967.90      -48.71      968.90        0.31         0        0.65        0.93        1.00       27.10        1.04        0.94        0.0426       74.87      138.12      147.5        2.1        0.642        8.84        2.40     5898.96     6763.34     6763.3        0.90        4.71       -3.17        1.02
0.006654        0.19660        9.689        0.188363        0.221432        9.302       10.076        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0       10.80        0.44        0.99        4.296        4.455      967.90      -48.69      968.90        0.31         0        0.65        0.93        1.00       27.10        1.04        0.94        0.0426       74.87      138.12      147.5        2.1        0.640        8.84        2.40     5896.20     6748.39     6748.4        0.90        4.72       -3.18        1.02
0.004611        0.24390        9.709        0.223197        0.243909        9.127       10.291        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.69        0.49        0.99        4.795        4.831      969.90      -49.29      970.90        0.31         0        0.68        0.95        1.08       28.90        1.04        0.94        0.0258      107.27      198.61      211.5        1.4        0.542       10.56        3.05     7217.83     8229.95     8229.9        0.89        4.52       -2.77        1.02
0.004611        0.21380        9.832        0.206689        0.229393        9.550       10.114        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0       10.50        0.46        0.99        4.546        4.669      982.20      -49.06      983.20        0.31         0        0.66        0.92        1.03       29.18        1.04        0.94        0.0281      107.46      199.12      212.4        7.5        0.858       10.67        3.12    12767.58    14901.79    14901.8        0.89        4.65       -3.02        1.02
0.004611        0.21030        9.842        0.209654        0.230963        9.328       10.356        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0       10.60        0.46        0.99        4.514        4.647      983.20      -48.89      984.20        0.31         0        0.66        0.92        1.03       29.32        1.04        0.94        0.0284      107.48      199.19      212.4       11.5        0.898       10.69        3.14    13909.82    16427.14    16427.1        0.89        4.66       -3.05        1.02
0.003611        0.27350        9.840        0.273485        0.291755        9.175       10.504        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.26        0.52        0.99        5.146        5.111      982.95      -50.69      983.95        0.31         0        0.68        0.94        1.05       30.10        1.04        0.94        0.0188      136.41      252.72      271.2        1.2        0.520       11.93        3.59     9087.52    10347.23    10347.2        0.88        4.42       -2.57        1.02
0.003611        0.27220        9.848        0.272150        0.288626        9.515       10.181        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.29        0.52        0.99        5.138        5.107      983.80      -50.64      984.80        0.30         0        0.68        0.94        1.05       30.09        1.04        0.94        0.0189      136.43      252.75      271.3        1.3        0.525       11.93        3.59     9198.27    10460.39    10460.4        0.88        4.43       -2.58        1.02
0.003611        0.25410        9.808        0.249112        0.275654        9.257       10.358        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.59        0.50        0.99        4.944        4.959      979.75      -49.80      980.75        0.31         0        0.68        0.94        1.09       30.08        1.04        0.94        0.0197      136.59      253.38      270.1        2.7        0.702       11.98        3.60    12332.28    14095.31    14095.3        0.88        4.49       -2.70        1.02
0.003611        0.24590        9.836        0.233387        0.251626        9.077       10.596        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.78        0.50        0.99        4.878        4.916      982.65      -49.45      983.65        0.31         0        0.68        0.93        1.08       30.15        1.04        0.94        0.0201      136.65      253.55      270.2        4.2        0.782       12.01        3.62    14256.46    16394.79    16394.8        0.89        4.52       -2.76        1.02
0.003611        0.23860        9.867        0.238264        0.260148        9.773        9.962        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.96        0.49        0.99        4.820        4.880      985.75      -49.70      986.75        0.30         0        0.67        0.93        1.07       30.29        1.04        0.94        0.0205      136.71      253.71      270.4        7.4        0.859       12.04        3.65    16444.71    19088.15    19088.2        0.89        4.55       -2.81        1.02
0.003195        0.25350        9.857        0.226306        0.253466        9.398       10.317        0.01        1.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        9.65        0.50        0.99        4.963        4.982      984.75      -49.79      985.75        0.30         0        0.68        0.93        1.10       30.79        1.04        0.94        0.0175      154.25      286.42      304.9        6.2        0.839       12.79        3.94    18043.71    20822.36    20822.4        0.88        4.50       -2.71        1.02
