xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2
0.001743        0.09868        0.11170        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.09868        0.11170        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.09868        0.11170        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.10668        0.11549        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02933        0.03239        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.02844        0.03100        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.07722        0.08327        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.93156        1.04663        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.10579        0.11003        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.05282        0.05936        6.366        6.366        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.02741        0.03209        5.821        5.821        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001172        0.07560        0.08605        5.821        5.821        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000788        0.90182        1.01955        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000788        0.10160        0.11856        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000788        0.10319        0.11531        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000788        0.69882        0.73545        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000788        0.07395        0.08630        5.821        5.821        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000530        0.94348        1.08057        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000356        0.99959        1.03694        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.000356        0.05402        0.05879        6.366        6.366        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
