xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2         mu             p            q            delta        ms           alpha_v      kappa_BP       lambda_BP   Omega_star   E           x_SM        x_A
0.303920        0.05185        0.05865        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05865        2.007        3.868        0.982        0.486        0.242        1.13272        2.40        0.889        1.60        3.56        0.00
0.303920        0.01594        0.01752        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01594        2.279        8.516        0.987        0.288        0.126        2.16837        2.34        0.881        1.47        3.00        0.00
0.303920        0.01492        0.01651        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01492        2.552        9.904        0.987        0.312        0.122        2.45141        2.30        0.867        1.36        2.74        0.00
0.204336        0.07440        0.08417        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07440        1.734        2.939        0.981        0.473        0.273        0.61152        3.14        0.902        2.95        3.69        0.00
0.204336        0.01515        0.01723        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01548        2.824       10.792        0.986        0.351        0.124        1.77961        2.97        0.854        2.48        2.77        0.00
0.204336        0.01594        0.01667        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01594        2.552        9.576        0.986        0.322        0.126        1.61933        3.03        0.867        2.63        2.96        0.00
0.204336        0.01484        0.01671        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01563        2.007        7.526        0.987        0.251        0.125        1.32256        3.09        0.894        2.83        3.62        0.00
0.204336        0.01566        0.01706        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01580        2.279        8.549        0.986        0.287        0.126        1.47531        3.07        0.880        2.75        3.19        0.00
0.204336        0.01508        0.01653        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01508        3.097       12.028        0.986        0.380        0.123        1.91961        2.88        0.841        2.27        2.64        0.00
0.204336        0.05311        0.06238        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06238        2.007        3.747        0.981        0.501        0.250        0.74355        3.13        0.888        2.88        4.27        0.00
