xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.059636        0.29960        3.174        0.269455        0.305202        3.059        3.289        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.82        0.55        0.98        1.737        0.270      104.80      -84.20      105.80        0.95         1        2.63        2.78        3.98       34.05        0.00        0.94        0.1154        8.41       12.87       14.1        1.5        0.481        2.99        3.05        3.89        6.82        6.9        0.70        1.36       -0.86        1.11
0.040949        0.31350        3.298        0.290374        0.313454        3.011        3.408        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.86        0.56        0.98        1.846        0.290      108.93      -48.03      109.93        0.92         1        2.67        2.79        4.23       36.93        0.00        0.93        0.0807       11.79       19.12       20.5        3.2        0.652        3.56        3.95        6.77       23.75       27.1        0.70        1.36       -0.88        1.11
0.033932        0.32210        3.405        0.291074        0.322117        3.180        3.647        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.91        0.57        0.98        1.933        0.307      112.51      -37.86      113.51        0.89         1        2.69        2.80        4.28       35.17        0.00        0.93        0.0679       13.99       23.16       24.7        1.8        0.556        3.86        4.07        8.20       26.99       29.4        0.69        1.40       -0.89        1.12
0.023300        0.34020        3.719        0.330805        0.373919        3.540        3.778        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        3.09        0.58        0.98        2.169        0.354      122.95      -22.80      123.95        0.81         1        2.74        2.83        4.06       35.03        0.00        0.92        0.0485       19.77       33.62       35.9        2.4        0.633        4.61        4.85       23.09      241.51      748.6        0.67        1.54       -0.92        1.13
0.019307        0.35320        3.827        0.353213        0.404307        3.640        4.015        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        3.11        0.59        0.97        2.275        0.378      126.58      -20.75      127.58        0.79         1        2.77        2.85        3.95       33.52        0.00        0.92        0.0406       23.61       40.56       44.2        1.4        0.527        5.02        5.05       31.22      349.28     1324.0        0.66        1.56       -0.93        1.13
0.007543       11.36400        0.548       10.676493       12.051610        0.520        0.552        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.07        3.37        0.88        1.847        1.097       17.27      -40.77       18.27        5.79         0        2.04        2.25        3.38        0.93        0.00        0.88        0.0020       57.72       98.36      108.2        0.0        0.003        1.01        0.03        8.34       33.81       36.8        0.61        1.30       -0.11        1.06
0.007543        0.33930        4.716        0.327993        0.369834        4.408        5.024        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        3.90        0.58        0.97        2.747        0.494      156.20      -10.92      157.20        0.64         1        2.81        2.86        3.87       29.83        0.00        0.90        0.0179       57.63      101.17      109.1        1.9        0.611        7.92        7.09      703.41    26310.06  1135985.0        0.61        1.91       -1.03        1.16
0.006251       11.99740        0.566       11.997339       12.838590        0.497        0.571        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.07        3.46        0.87        1.962        1.184       17.88      -40.99       18.88        5.59         0        2.02        2.22        3.35        0.96        0.00        0.87        0.0016       68.68      116.15      133.7        0.0        0.003        1.01        0.03        9.10       36.22       39.6        0.58        1.31       -0.11        1.05
0.006251        0.32870        4.926        0.300321        0.330570        4.646        5.206        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        4.14        0.57        0.97        2.824        0.519      163.20      -10.19      164.20        0.61         1        2.80        2.85        3.96       28.24        0.00        0.90        0.0153       69.02      121.25      130.5        1.4        0.546        8.67        7.35     1063.42    35173.93  1762686.0        0.60        1.96       -1.06        1.16
0.006251        0.32640        4.977        0.301674        0.328152        4.767        5.187        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        4.20        0.57        0.97        2.843        0.526      164.90       -9.99      165.90        0.61         1        2.80        2.85        3.81       28.14        0.00        0.90        0.0154       68.95      121.00      130.8        1.5        0.564        8.67        7.32     1115.32    37140.10  1910935.0        0.60        2.01       -1.07        1.17
0.001677        9.49290        0.786        9.322906       10.671931        0.734        0.872        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.11        3.08        0.86        2.421        1.481       25.19      -29.53       26.19        3.97         0        1.98        2.11        3.33        0.62        0.00        0.85        0.0005      252.06      427.09      491.6        0.0        0.004        1.00        0.02       21.60      126.24      149.3        0.56        1.35       -0.14        1.05
0.001677        8.64600        0.812        7.533369        8.804901        0.740        0.868        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.12        2.94        0.87        2.388        1.446       26.07      -27.74       27.07        3.84         0        1.99        2.12        3.45        1.56        0.00        0.86        0.0006      254.64      435.51      469.6        1.5        0.000        1.03        0.05       24.34      166.15      205.2        0.58        1.33       -0.15        1.05
0.001389        8.77060        0.828        8.675879        9.433730        0.765        0.849        0.03        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.12        2.96        0.87        2.452        1.494       26.60      -27.79       27.60        3.76         0        1.98        2.11        3.35        0.99        0.00        0.86        0.0005      305.54      520.34      580.9        0.0        0.004        1.01        0.03       30.93      265.13      350.1        0.57        1.35       -0.15        1.05
