xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.753114        0.00330        0.800        0.00327        0.00358        0.800        0.800        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        6.09        0.06        0.99        0.046        0.007        7.00        1.16        8.00        4.29         4        3.01        3.17        3.52        0.00        0.00        0.960        6.3276        1.09        0.46        0.2        0.0        0.000        0.00        0.00        1.07        0.39        0.4        1.40        1.58       -0.53        1.50
1.753114        0.00170        0.700        0.00167        0.00180        0.700        0.700        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        7.30        0.04        0.99        0.029        0.005        6.00        1.33        7.00        5.00         5        3.14        3.24        3.55        0.00        0.00        0.965        8.0755        1.10        0.19        0.2        0.0        0.000        0.00        0.00        1.07        0.40        0.4        1.40        1.83       -0.91        1.60
1.753114        0.00100        0.700        0.00095        0.00106        0.700        0.700        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        9.57        0.03        1.00        0.022        0.004        6.00        1.51        7.00        5.00         6        3.19        3.32        3.48        0.00        0.00        0.965       10.6900        1.10        0.01        0.3        0.0        0.000        0.00        0.00        1.06        0.38        0.4        1.36        2.58       -1.29        1.86
1.753114        0.00170        0.800        0.00165        0.00179        0.800        0.800        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        8.55        0.04        0.99        0.033        0.006        7.00        1.36        8.00        4.29         5        3.08        3.25        3.42        0.00        0.00        0.960        9.1175        1.09        0.18        0.2        0.0        0.000        0.00        0.00        1.06        0.38        0.4        1.35        2.42       -0.90        1.78
1.590455        0.00310        0.700        0.00305        0.00341        0.700        0.700        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        5.32        0.06        0.99        0.039        0.007        6.00        1.22        7.00        5.00         4        2.99        3.15        3.80        0.00        0.00        0.963        5.5201        1.12        0.50        0.1        0.0        0.000        0.00        0.00        1.08        0.43        0.4        1.53        0.91       -0.35        1.26
1.590455        0.00060        0.700        0.00059        0.00064        0.700        0.700        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       11.99        0.02        0.99        0.017        0.004        6.00        1.71        7.00        5.00         7        3.22        3.37        3.47        0.00        0.00        0.965       12.8324        1.12       -0.06        0.3        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.43        3.33       -1.81        2.12
1.590455        0.00100        0.700        0.00092        0.00099        0.700        0.700        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        9.56        0.03        0.99        0.022        0.004        6.00        1.57        7.00        5.00         6        3.19        3.31        3.51        0.00        0.00        0.964       10.2348        1.13        0.07        0.3        0.0        0.000        0.00        0.00        1.08        0.40        0.4        1.47        2.48       -1.48        1.83
1.590455        0.00100        0.800        0.00093        0.00105        0.800        0.800        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0       11.23        0.03        0.99        0.025        0.005        7.00        1.94        8.00        4.29         6        3.13        3.31        3.39        0.00        0.00        0.959       11.5527        1.12        0.05        0.3        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.42        3.31       -1.60        2.08
1.590455        0.00170        0.800        0.00161        0.00179        0.800        0.800        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        8.54        0.04        0.99        0.033        0.006        7.00        1.72        8.00        4.29         5        3.10        3.25        3.44        0.00        0.00        0.959        8.7351        1.12        0.24        0.3        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.45        2.32       -1.20        1.75
1.590455        0.00160        0.900        0.00161        0.00175        0.900        0.900        0.10        1.0        1.0        1.0        8.0       -2.0       -2.0       -2.0       -2.0        9.80        0.04        0.99        0.037        0.007        8.00        1.62        9.00        3.75         5        3.04        3.24        3.34        0.00        0.00        0.954        9.6511        1.11        0.22        0.3        0.0        0.000        0.00        0.00        1.08        0.37        0.4        1.42        2.95       -1.22        1.94
