x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99956        0.99958        1.00002        2.94713        0.85087       -0.00294        0.04061       -0.02469        1.00003        0.99975
0.010163        0.99954        0.99957        1.00002        2.94714        0.85087       -0.00299        0.04128       -0.02509        1.00003        0.99974
0.010328        0.99951        0.99953        1.00002        2.94716        0.85086       -0.00304        0.04195       -0.02550        1.00003        0.99973
0.010496        0.99948        0.99950        1.00002        2.94718        0.85085       -0.00309        0.04263       -0.02592        1.00003        0.99972
0.010667        0.99945        0.99947        1.00002        2.94720        0.85085       -0.00314        0.04332       -0.02634        1.00003        0.99970
0.010840        0.99941        0.99944        1.00003        2.94722        0.85084       -0.00319        0.04403       -0.02677        1.00003        0.99969
0.011016        0.99938        0.99941        1.00003        2.94724        0.85083       -0.00324        0.04475       -0.02720        1.00003        0.99968
0.011196        0.99934        0.99937        1.00003        2.94726        0.85082       -0.00329        0.04547       -0.02764        1.00003        0.99966
0.011378        0.99931        0.99934        1.00003        2.94728        0.85082       -0.00335        0.04621       -0.02809        1.00004        0.99965
0.011563        0.99927        0.99930        1.00003        2.94730        0.85081       -0.00340        0.04697       -0.02855        1.00004        0.99963
0.011751        0.99924        0.99927        1.00003        2.94732        0.85080       -0.00346        0.04773       -0.02901        1.00004        0.99962
0.011942        0.99920        0.99923        1.00003        2.94735        0.85080       -0.00351        0.04851       -0.02948        1.00004        0.99961
0.012136        0.99916        0.99920        1.00003        2.94737        0.85079       -0.00357        0.04930       -0.02996        1.00004        0.99959
0.012334        0.99912        0.99916        1.00003        2.94739        0.85078       -0.00363        0.05010       -0.03045        1.00004        0.99958
0.012534        0.99908        0.99912        1.00004        2.94742        0.85077       -0.00369        0.05091       -0.03094        1.00004        0.99956
0.012738        0.99905        0.99908        1.00004        2.94744        0.85076       -0.00375        0.05174       -0.03145        1.00005        0.99955
0.012945        0.99901        0.99904        1.00004        2.94746        0.85076       -0.00381        0.05259       -0.03196        1.00005        0.99953
0.013156        0.99896        0.99900        1.00004        2.94749        0.85075       -0.00387        0.05344       -0.03248        1.00005        0.99951
0.013370        0.99892        0.99896        1.00004        2.94751        0.85074       -0.00393        0.05431       -0.03300        1.00005        0.99950
0.013587        0.99888        0.99892        1.00004        2.94754        0.85073       -0.00400        0.05520       -0.03354        1.00005        0.99948
0.013808        0.99884        0.99888        1.00004        2.94756        0.85072       -0.00406        0.05609       -0.03409        1.00005        0.99947
0.014033        0.99880        0.99884        1.00004        2.94759        0.85071       -0.00413        0.05701       -0.03464        1.00006        0.99945
0.014261        0.99875        0.99880        1.00005        2.94762        0.85071       -0.00420        0.05793       -0.03520        1.00006        0.99943
0.014493        0.99871        0.99875        1.00005        2.94765        0.85070       -0.00426        0.05888       -0.03578        1.00006        0.99941
0.014729        0.99866        0.99871        1.00005        2.94767        0.85069       -0.00433        0.05983       -0.03636        1.00006        0.99940
0.014968        0.99861        0.99866        1.00005        2.94770        0.85068       -0.00440        0.06081       -0.03695        1.00006        0.99938
0.015212        0.99857        0.99862        1.00005        2.94773        0.85067       -0.00448        0.06180       -0.03755        1.00006        0.99936
0.015459        0.99852        0.99857        1.00005        2.94776        0.85066       -0.00455        0.06280       -0.03816        1.00007        0.99934
0.015711        0.99847        0.99853        1.00006        2.94779        0.85065       -0.00462        0.06383       -0.03878        1.00007        0.99932
0.015966        0.99842        0.99848        1.00006        2.94782        0.85064       -0.00470        0.06486       -0.03941        1.00007        0.99930
0.016226        0.99837        0.99843        1.00006        2.94785        0.85063       -0.00477        0.06592       -0.04005        1.00007        0.99928
0.016490        0.99832        0.99838        1.00006        2.94788        0.85062       -0.00485        0.06699       -0.04070        1.00007        0.99926
0.016758        0.99827        0.99833        1.00006        2.94791        0.85061       -0.00493        0.06808       -0.04136        1.00008        0.99924
0.017031        0.99822        0.99828        1.00006        2.94794        0.85060       -0.00501        0.06919       -0.04203        1.00008        0.99922
0.017308        0.99816        0.99823        1.00006        2.94798        0.85059       -0.00509        0.07032       -0.04272        1.00008        0.99920
0.017589        0.99811        0.99817        1.00007        2.94801        0.85058       -0.00518        0.07146       -0.04341        1.00008        0.99918
0.017875        0.99805        0.99812        1.00007        2.94804        0.85056       -0.00526        0.07262       -0.04412        1.00009        0.99916
0.018166        0.99800        0.99807        1.00007        2.94808        0.85055       -0.00535        0.07381       -0.04483        1.00009        0.99914
0.018461        0.99794        0.99801        1.00007        2.94811        0.85054       -0.00543        0.07501       -0.04556        1.00009        0.99911
0.018762        0.99788        0.99795        1.00007        2.94815        0.85053       -0.00552        0.07623       -0.04630        1.00009        0.99909
0.019067        0.99782        0.99790        1.00008        2.94818        0.85052       -0.00561        0.07747       -0.04706        1.00009        0.99907
0.019377        0.99776        0.99784        1.00008        2.94822        0.85051       -0.00570        0.07873       -0.04782        1.00010        0.99905
0.019692        0.99770        0.99778        1.00008        2.94826        0.85049       -0.00580        0.08001       -0.04860        1.00010        0.99902
0.020012        0.99764        0.99772        1.00008        2.94829        0.85048       -0.00589        0.08131       -0.04939        1.00010        0.99900
0.020338        0.99754        0.99763        1.00008        2.94835        0.85046       -0.00599        0.08263       -0.05019        1.00011        0.99896
0.020669        0.99744        0.99753        1.00009        2.94841        0.85044       -0.00608        0.08398       -0.05100        1.00011        0.99892
0.021005        0.99733        0.99742        1.00009        2.94848        0.85042       -0.00618        0.08535       -0.05183        1.00011        0.99888
0.021347        0.99722        0.99732        1.00009        2.94854        0.85040       -0.00628        0.08674       -0.05267        1.00012        0.99883
