xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.145635        1.19050        0.816        1.121653        1.237568        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.60        2.18        0.92        1.781        1.534        7.16      -88.95        8.16        1.05         0        1.38        2.14        2.15        0.00        0.00        0.78        0.2029        3.68        3.31        4.7        0.0        0.000        0.00        0.00        2.17        1.44        1.4        0.46        1.19       -0.54        1.11
0.115140        1.96360        0.653        1.946325        2.084871        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.35        2.80        0.89        1.830        1.405        5.53       28.70        6.53        1.36         0        1.54        2.37        2.71        0.00        0.00        0.79        0.1056        4.22        4.23        5.4        0.0        0.000        0.00        0.00        1.86        2.01        2.0        0.44        0.87       -0.34        1.08
0.115140        1.64380        0.735        1.592689        1.756312        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.44        2.56        0.90        1.885        1.516        6.35       88.23        7.35        1.18         0        1.47        2.30        2.45        0.00        0.00        0.78        0.1251        4.29        4.27        5.7        0.0        0.000        0.00        0.00        2.24        2.63        2.6        0.45        1.01       -0.41        1.10
0.115140        1.33030        0.816        1.241168        1.431269        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.56        2.31        0.91        1.882        1.589        7.16     -101.72        8.16        1.05         0        1.41        2.12        2.23        0.00        0.00        0.78        0.1500        4.37        4.33        6.0        0.0        0.000        0.00        0.00        2.37        1.91        1.9        0.46        1.15       -0.51        1.11
0.115140        2.21910        0.571        2.171981        2.423133        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.28        2.98        0.89        1.701        1.252        4.71       15.99        5.71        1.59         0        1.61        2.37        3.12        0.00        0.00        0.81        0.0909        4.17        4.25        5.0        0.0        0.000        0.00        0.00        1.59        1.47        1.5        0.45        0.71       -0.28        1.06
0.115140        2.30810        0.571        2.308108        2.718334        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.28        3.04        0.89        1.735        1.273        4.71       15.70        5.71        1.59         0        1.61        2.37        2.99        0.00        0.00        0.81        0.0890        4.16        4.20        5.4        0.0        0.000        0.00        0.00        1.61        1.51        1.5        0.44        0.75       -0.28        1.07
0.091030        2.34530        0.571        2.334225        2.510832        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.27        3.06        0.89        1.749        1.276        4.71       16.20        5.71        1.59         0        1.63        2.23        3.22        0.00        0.00        0.80        0.0697        5.01        5.56        6.4        0.0        0.000        0.00        0.00        1.60        1.52        1.5        0.45        0.70       -0.28        1.06
0.091030        2.17590        0.653        2.175921        2.334303        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.33        2.95        0.88        1.926        1.455        5.53       28.11        6.53        1.36         0        1.57        2.23        2.74        0.00        0.00        0.78        0.0786        5.04        5.45        7.2        0.0        0.000        0.00        0.00        1.86        2.11        2.1        0.43        0.87       -0.32        1.09
0.091030        1.79750        0.735        1.797481        2.003809        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.42        2.68        0.89        1.971        1.560        6.35       84.19        7.35        1.18         0        1.50        2.21        2.52        0.00        0.00        0.78        0.0938        5.13        5.53        7.4        0.0        0.000        0.00        0.00        2.23        2.81        2.8        0.44        0.99       -0.39        1.10
0.091030        1.74670        0.735        1.570170        1.746747        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.43        2.64        0.89        1.943        1.543        6.35       93.06        7.35        1.18         0        1.50        2.24        2.76        0.00        0.00        0.78        0.0954        5.15        5.58        6.9        0.0        0.000        0.00        0.00        2.21        2.77        2.8        0.45        0.96       -0.40        1.09
