x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99969        0.99972        1.00003        1.67702        0.95016       -0.00167        0.05432       -0.08589        1.00003        0.99990
0.010163        0.99968        0.99971        1.00003        1.67704        0.95016       -0.00170        0.05520       -0.08729        1.00004        0.99990
0.010328        0.99966        0.99969        1.00003        1.67706        0.95016       -0.00173        0.05610       -0.08871        1.00004        0.99989
0.010496        0.99964        0.99967        1.00003        1.67708        0.95016       -0.00175        0.05701       -0.09015        1.00004        0.99989
0.010667        0.99962        0.99965        1.00003        1.67710        0.95016       -0.00178        0.05794       -0.09161        1.00004        0.99988
0.010840        0.99960        0.99963        1.00003        1.67713        0.95016       -0.00181        0.05888       -0.09310        1.00004        0.99988
0.011016        0.99957        0.99961        1.00004        1.67715        0.95015       -0.00184        0.05984       -0.09462        1.00004        0.99987
0.011196        0.99955        0.99959        1.00004        1.67717        0.95015       -0.00187        0.06081       -0.09616        1.00005        0.99986
0.011378        0.99953        0.99957        1.00004        1.67720        0.95015       -0.00190        0.06180       -0.09772        1.00005        0.99986
0.011563        0.99951        0.99955        1.00004        1.67722        0.95015       -0.00193        0.06281       -0.09931        1.00005        0.99985
0.011751        0.99948        0.99953        1.00004        1.67725        0.95015       -0.00196        0.06383       -0.10092        1.00005        0.99985
0.011942        0.99946        0.99950        1.00004        1.67728        0.95015       -0.00200        0.06487       -0.10257        1.00005        0.99984
0.012136        0.99944        0.99948        1.00004        1.67730        0.95015       -0.00203        0.06593       -0.10423        1.00006        0.99984
0.012334        0.99941        0.99946        1.00005        1.67733        0.95014       -0.00206        0.06700       -0.10593        1.00006        0.99983
0.012534        0.99939        0.99944        1.00005        1.67736        0.95014       -0.00210        0.06809       -0.10765        1.00006        0.99982
0.012738        0.99936        0.99941        1.00005        1.67738        0.95014       -0.00213        0.06920       -0.10940        1.00006        0.99982
0.012945        0.99934        0.99939        1.00005        1.67741        0.95014       -0.00216        0.07032       -0.11118        1.00006        0.99981
0.013156        0.99931        0.99937        1.00005        1.67744        0.95014       -0.00220        0.07147       -0.11299        1.00007        0.99981
0.013370        0.99929        0.99934        1.00005        1.67747        0.95014       -0.00224        0.07263       -0.11483        1.00007        0.99980
0.013587        0.99926        0.99932        1.00006        1.67750        0.95014       -0.00227        0.07381       -0.11669        1.00007        0.99979
0.013808        0.99923        0.99929        1.00006        1.67753        0.95013       -0.00231        0.07501       -0.11859        1.00007        0.99979
0.014033        0.99920        0.99926        1.00006        1.67756        0.95013       -0.00235        0.07623       -0.12052        1.00008        0.99978
0.014261        0.99918        0.99924        1.00006        1.67759        0.95013       -0.00238        0.07748       -0.12248        1.00008        0.99977
0.014493        0.99915        0.99921        1.00006        1.67762        0.95013       -0.00242        0.07874       -0.12447        1.00008        0.99977
0.014729        0.99912        0.99919        1.00007        1.67765        0.95013       -0.00246        0.08002       -0.12650        1.00008        0.99976
0.014968        0.99909        0.99916        1.00007        1.67768        0.95013       -0.00250        0.08132       -0.12855        1.00008        0.99975
0.015212        0.99906        0.99913        1.00007        1.67772        0.95012       -0.00254        0.08264       -0.13064        1.00009        0.99974
0.015459        0.99903        0.99910        1.00007        1.67775        0.95012       -0.00259        0.08399       -0.13277        1.00009        0.99974
0.015711        0.99900        0.99907        1.00007        1.67778        0.95012       -0.00263        0.08535       -0.13493        1.00009        0.99973
0.015966        0.99897        0.99904        1.00008        1.67782        0.95012       -0.00267        0.08674       -0.13712        1.00009        0.99972
0.016226        0.99894        0.99901        1.00008        1.67785        0.95012       -0.00271        0.08815       -0.13935        1.00010        0.99971
0.016490        0.99890        0.99898        1.00008        1.67789        0.95011       -0.00276        0.08959       -0.14162        1.00010        0.99971
0.016758        0.99887        0.99895        1.00008        1.67792        0.95011       -0.00280        0.09105       -0.14392        1.00010        0.99970
0.017031        0.99884        0.99892        1.00008        1.67796        0.95011       -0.00285        0.09253       -0.14626        1.00011        0.99969
0.017308        0.99880        0.99889        1.00009        1.67800        0.95011       -0.00289        0.09403       -0.14864        1.00011        0.99968
0.017589        0.99877        0.99886        1.00009        1.67804        0.95011       -0.00294        0.09556       -0.15106        1.00011        0.99967
0.017875        0.99873        0.99883        1.00009        1.67808        0.95010       -0.00299        0.09712       -0.15351        1.00011        0.99966
0.018166        0.99870        0.99879        1.00009        1.67811        0.95010       -0.00304        0.09870       -0.15601        1.00012        0.99965
0.018461        0.99866        0.99876        1.00010        1.67815        0.95010       -0.00309        0.10031       -0.15855        1.00012        0.99965
0.018762        0.99863        0.99872        1.00010        1.67819        0.95010       -0.00314        0.10194       -0.16113        1.00012        0.99964
0.019067        0.99859        0.99869        1.00010        1.67824        0.95009       -0.00319        0.10360       -0.16375        1.00013        0.99963
0.019377        0.99855        0.99865        1.00010        1.67828        0.95009       -0.00324        0.10528       -0.16641        1.00013        0.99962
0.019692        0.99851        0.99862        1.00011        1.67832        0.95009       -0.00329        0.10699       -0.16912        1.00013        0.99961
0.020012        0.99847        0.99858        1.00011        1.67836        0.95009       -0.00335        0.10874       -0.17187        1.00014        0.99960
0.020338        0.99841        0.99853        1.00011        1.67843        0.95008       -0.00340        0.11051       -0.17466        1.00014        0.99958
0.020669        0.99835        0.99846        1.00012        1.67850        0.95008       -0.00346        0.11231       -0.17750        1.00015        0.99957
0.021005        0.99828        0.99840        1.00012        1.67858        0.95008       -0.00351        0.11414       -0.18038        1.00015        0.99955
0.021347        0.99821        0.99834        1.00013        1.67865        0.95007       -0.00357        0.11600       -0.18332        1.00016        0.99953
0.021694        0.99814        0.99827        1.00013        1.67873        0.95007       -0.00363        0.11789       -0.18630        1.00016        0.99952
0.022047        0.99807        0.99820        1.00014        1.67881        0.95006       -0.00369        0.11981       -0.18933        1.00017        0.99950
0.022405        0.99799        0.99813        1.00014        1.67889        0.95006       -0.00375        0.12176       -0.19240        1.00018        0.99948
0.022770        0.99792        0.99806        1.00015        1.67897        0.95005       -0.00381        0.12374       -0.19553        1.00018        0.99946
0.023140        0.99784        0.99799        1.00015        1.67906        0.95005       -0.00387        0.12576       -0.19871        1.00019        0.99944
0.023516        0.99777        0.99792        1.00016        1.67914        0.95004       -0.00394        0.12781       -0.20194        1.00020        0.99942
0.023899        0.99769        0.99785        1.00016        1.67923        0.95004       -0.00400        0.12989       -0.20522        1.00020        0.99941
0.024288        0.99761        0.99778        1.00017        1.67931        0.95003       -0.00407        0.13200       -0.20856        1.00021        0.99939
0.024683        0.99753        0.99770        1.00017        1.67940        0.95003       -0.00413        0.13415       -0.21195        1.00021        0.99937
