x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99959        0.99963        1.00003        1.27324        0.96819       -0.00127        0.06440       -0.16137        1.00004        0.99990
0.010163        0.99958        0.99961        1.00003        1.27325        0.96819       -0.00129        0.06545       -0.16399        1.00004        0.99990
0.010328        0.99955        0.99959        1.00004        1.27328        0.96819       -0.00131        0.06651       -0.16666        1.00004        0.99989
0.010496        0.99953        0.99956        1.00004        1.27330        0.96819       -0.00133        0.06759       -0.16937        1.00005        0.99989
0.010667        0.99950        0.99954        1.00004        1.27333        0.96819       -0.00135        0.06869       -0.17213        1.00005        0.99988
0.010840        0.99947        0.99951        1.00004        1.27336        0.96819       -0.00137        0.06981       -0.17492        1.00005        0.99988
0.011016        0.99944        0.99948        1.00004        1.27339        0.96818       -0.00140        0.07095       -0.17777        1.00005        0.99987
0.011196        0.99941        0.99946        1.00004        1.27342        0.96818       -0.00142        0.07210       -0.18066        1.00005        0.99986
0.011378        0.99938        0.99943        1.00005        1.27345        0.96818       -0.00144        0.07328       -0.18360        1.00006        0.99986
0.011563        0.99935        0.99940        1.00005        1.27348        0.96818       -0.00147        0.07447       -0.18658        1.00006        0.99985
0.011751        0.99932        0.99937        1.00005        1.27351        0.96818       -0.00149        0.07568       -0.18962        1.00006        0.99985
0.011942        0.99929        0.99934        1.00005        1.27354        0.96818       -0.00151        0.07692       -0.19270        1.00006        0.99984
0.012136        0.99926        0.99931        1.00005        1.27357        0.96818       -0.00154        0.07817       -0.19584        1.00007        0.99984
0.012334        0.99923        0.99928        1.00005        1.27360        0.96818       -0.00156        0.07944       -0.19902        1.00007        0.99983
0.012534        0.99920        0.99925        1.00006        1.27363        0.96818       -0.00159        0.08073       -0.20226        1.00007        0.99982
0.012738        0.99916        0.99922        1.00006        1.27367        0.96818       -0.00162        0.08205       -0.20555        1.00007        0.99982
0.012945        0.99913        0.99919        1.00006        1.27370        0.96817       -0.00164        0.08338       -0.20889        1.00008        0.99981
0.013156        0.99910        0.99916        1.00006        1.27373        0.96817       -0.00167        0.08474       -0.21229        1.00008        0.99981
0.013370        0.99906        0.99913        1.00006        1.27377        0.96817       -0.00170        0.08612       -0.21574        1.00008        0.99980
0.013587        0.99903        0.99909        1.00007        1.27380        0.96817       -0.00172        0.08752       -0.21925        1.00008        0.99979
0.013808        0.99899        0.99906        1.00007        1.27384        0.96817       -0.00175        0.08895       -0.22281        1.00009        0.99979
0.014033        0.99896        0.99903        1.00007        1.27388        0.96817       -0.00178        0.09039       -0.22644        1.00009        0.99978
0.014261        0.99892        0.99899        1.00007        1.27391        0.96817       -0.00181        0.09186       -0.23012        1.00009        0.99977
0.014493        0.99888        0.99896        1.00008        1.27395        0.96817       -0.00184        0.09336       -0.23386        1.00009        0.99977
0.014729        0.99884        0.99892        1.00008        1.27399        0.96816       -0.00187        0.09488       -0.23767        1.00010        0.99976
0.014968        0.99881        0.99889        1.00008        1.27403        0.96816       -0.00190        0.09642       -0.24153        1.00010        0.99975
0.015212        0.99877        0.99885        1.00008        1.27407        0.96816       -0.00193        0.09799       -0.24546        1.00010        0.99974
0.015459        0.99873        0.99881        1.00008        1.27411        0.96816       -0.00196        0.09959       -0.24945        1.00011        0.99974
0.015711        0.99869        0.99877        1.00009        1.27415        0.96816       -0.00199        0.10121       -0.25351        1.00011        0.99973
0.015966        0.99864        0.99873        1.00009        1.27419        0.96816       -0.00203        0.10286       -0.25763        1.00011        0.99972
0.016226        0.99860        0.99869        1.00009        1.27423        0.96816       -0.00206        0.10453       -0.26182        1.00012        0.99971
0.016490        0.99856        0.99865        1.00009        1.27427        0.96815       -0.00209        0.10623       -0.26608        1.00012        0.99971
0.016758        0.99852        0.99861        1.00010        1.27432        0.96815       -0.00213        0.10796       -0.27041        1.00012        0.99970
0.017031        0.99847        0.99857        1.00010        1.27436        0.96815       -0.00216        0.10972       -0.27480        1.00012        0.99969
0.017308        0.99843        0.99853        1.00010        1.27441        0.96815       -0.00220        0.11150       -0.27927        1.00013        0.99968
0.017589        0.99838        0.99849        1.00011        1.27445        0.96815       -0.00223        0.11332       -0.28381        1.00013        0.99967
0.017875        0.99834        0.99844        1.00011        1.27450        0.96815       -0.00227        0.11516       -0.28843        1.00014        0.99966
0.018166        0.99829        0.99840        1.00011        1.27455        0.96815       -0.00231        0.11704       -0.29312        1.00014        0.99965
0.018461        0.99824        0.99836        1.00011        1.27459        0.96814       -0.00234        0.11894       -0.29789        1.00014        0.99965
0.018762        0.99819        0.99831        1.00012        1.27464        0.96814       -0.00238        0.12088       -0.30273        1.00015        0.99964
0.019067        0.99814        0.99826        1.00012        1.27469        0.96814       -0.00242        0.12284       -0.30766        1.00015        0.99963
0.019377        0.99809        0.99822        1.00012        1.27474        0.96814       -0.00246        0.12484       -0.31266        1.00015        0.99962
0.019692        0.99804        0.99817        1.00013        1.27479        0.96814       -0.00250        0.12687       -0.31775        1.00016        0.99961
0.020012        0.99799        0.99812        1.00013        1.27484        0.96814       -0.00254        0.12894       -0.32291        1.00016        0.99960
0.020338        0.99791        0.99805        1.00013        1.27492        0.96813       -0.00258        0.13104       -0.32816        1.00017        0.99958
0.020669        0.99783        0.99796        1.00014        1.27501        0.96813       -0.00262        0.13318       -0.33350        1.00017        0.99957
0.021005        0.99774        0.99788        1.00014        1.27510        0.96813       -0.00267        0.13535       -0.33892        1.00018        0.99955
0.021347        0.99764        0.99779        1.00015        1.27519        0.96812       -0.00271        0.13755       -0.34443        1.00019        0.99953
0.021694        0.99755        0.99771        1.00016        1.27529        0.96812       -0.00276        0.13980       -0.35003        1.00019        0.99952
0.022047        0.99746        0.99762        1.00016        1.27538        0.96812       -0.00280        0.14208       -0.35572        1.00020        0.99950
0.022405        0.99736        0.99753        1.00017        1.27548        0.96811       -0.00285        0.14439       -0.36151        1.00021        0.99948
0.022770        0.99726        0.99744        1.00017        1.27558        0.96811       -0.00289        0.14675       -0.36738        1.00022        0.99946
0.023140        0.99716        0.99734        1.00018        1.27568        0.96811       -0.00294        0.14914       -0.37336        1.00022        0.99944
0.023516        0.99706        0.99725        1.00019        1.27578        0.96810       -0.00299        0.15157       -0.37943        1.00023        0.99942
0.023899        0.99696        0.99715        1.00019        1.27588        0.96810       -0.00304        0.15404       -0.38560        1.00024        0.99941
0.024288        0.99686        0.99705        1.00020        1.27599        0.96810       -0.00309        0.15655       -0.39187        1.00025        0.99939
0.024683        0.99675        0.99695        1.00020        1.27609        0.96809       -0.00314        0.15910       -0.39824        1.00026        0.99937
0.025084        0.99664        0.99685        1.00021        1.27620        0.96809       -0.00319        0.16170       -0.40471        1.00026        0.99935
0.025492        0.99653        0.99675        1.00022        1.27631        0.96809       -0.00324        0.16433       -0.41129        1.00027        0.99933
