x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99988        0.99989        1.00001        0.86436        0.96833       -0.00078        0.02645       -0.04128        1.00002        0.99990
0.010163        0.99988        0.99989        1.00001        0.86437        0.96833       -0.00080        0.02688       -0.04195        1.00002        0.99990
0.010328        0.99987        0.99989        1.00001        0.86437        0.96833       -0.00081        0.02732       -0.04263        1.00002        0.99989
0.010496        0.99987        0.99988        1.00002        0.86437        0.96833       -0.00082        0.02776       -0.04332        1.00002        0.99989
0.010667        0.99986        0.99988        1.00002        0.86437        0.96833       -0.00083        0.02821       -0.04403        1.00002        0.99988
0.010840        0.99985        0.99987        1.00002        0.86437        0.96833       -0.00085        0.02867       -0.04474        1.00002        0.99988
0.011016        0.99985        0.99986        1.00002        0.86437        0.96833       -0.00086        0.02914       -0.04547        1.00002        0.99987
0.011196        0.99984        0.99986        1.00002        0.86437        0.96833       -0.00088        0.02961       -0.04621        1.00002        0.99986
0.011378        0.99983        0.99985        1.00002        0.86438        0.96833       -0.00089        0.03009       -0.04696        1.00002        0.99986
0.011563        0.99983        0.99985        1.00002        0.86438        0.96833       -0.00091        0.03058       -0.04773        1.00002        0.99985
0.011751        0.99982        0.99984        1.00002        0.86438        0.96833       -0.00092        0.03108       -0.04850        1.00002        0.99985
0.011942        0.99981        0.99984        1.00002        0.86438        0.96833       -0.00093        0.03159       -0.04929        1.00002        0.99984
0.012136        0.99981        0.99983        1.00002        0.86438        0.96833       -0.00095        0.03210       -0.05009        1.00003        0.99984
0.012334        0.99980        0.99982        1.00002        0.86438        0.96833       -0.00097        0.03262       -0.05091        1.00003        0.99983
0.012534        0.99979        0.99982        1.00002        0.86439        0.96833       -0.00098        0.03315       -0.05173        1.00003        0.99982
0.012738        0.99979        0.99981        1.00002        0.86439        0.96833       -0.00100        0.03369       -0.05258        1.00003        0.99982
0.012945        0.99978        0.99980        1.00003        0.86439        0.96833       -0.00101        0.03424       -0.05343        1.00003        0.99981
0.013156        0.99977        0.99980        1.00003        0.86439        0.96833       -0.00103        0.03480       -0.05430        1.00003        0.99981
0.013370        0.99976        0.99979        1.00003        0.86439        0.96833       -0.00105        0.03536       -0.05518        1.00003        0.99980
0.013587        0.99976        0.99978        1.00003        0.86439        0.96833       -0.00106        0.03594       -0.05608        1.00003        0.99979
0.013808        0.99975        0.99978        1.00003        0.86440        0.96833       -0.00108        0.03652       -0.05699        1.00003        0.99979
0.014033        0.99974        0.99977        1.00003        0.86440        0.96833       -0.00110        0.03712       -0.05792        1.00003        0.99978
0.014261        0.99973        0.99976        1.00003        0.86440        0.96833       -0.00112        0.03772       -0.05886        1.00004        0.99977
0.014493        0.99972        0.99975        1.00003        0.86440        0.96833       -0.00113        0.03833       -0.05982        1.00004        0.99977
0.014729        0.99972        0.99975        1.00003        0.86440        0.96832       -0.00115        0.03896       -0.06079        1.00004        0.99976
0.014968        0.99971        0.99974        1.00003        0.86441        0.96832       -0.00117        0.03959       -0.06178        1.00004        0.99975
0.015212        0.99970        0.99973        1.00003        0.86441        0.96832       -0.00119        0.04024       -0.06279        1.00004        0.99974
0.015459        0.99969        0.99972        1.00003        0.86441        0.96832       -0.00121        0.04089       -0.06381        1.00004        0.99974
0.015711        0.99968        0.99972        1.00004        0.86441        0.96832       -0.00123        0.04156       -0.06484        1.00004        0.99973
0.015966        0.99967        0.99971        1.00004        0.86442        0.96832       -0.00125        0.04223       -0.06590        1.00004        0.99972
0.016226        0.99966        0.99970        1.00004        0.86442        0.96832       -0.00127        0.04292       -0.06697        1.00005        0.99971
0.016490        0.99965        0.99969        1.00004        0.86442        0.96832       -0.00129        0.04362       -0.06806        1.00005        0.99971
0.016758        0.99964        0.99968        1.00004        0.86442        0.96832       -0.00131        0.04433       -0.06917        1.00005        0.99970
0.017031        0.99963        0.99967        1.00004        0.86442        0.96832       -0.00133        0.04505       -0.07029        1.00005        0.99969
0.017308        0.99962        0.99967        1.00004        0.86443        0.96832       -0.00135        0.04578       -0.07143        1.00005        0.99968
0.017589        0.99961        0.99966        1.00004        0.86443        0.96832       -0.00138        0.04653       -0.07260        1.00005        0.99967
0.017875        0.99960        0.99965        1.00004        0.86443        0.96832       -0.00140        0.04728       -0.07378        1.00005        0.99966
0.018166        0.99959        0.99964        1.00005        0.86443        0.96832       -0.00142        0.04805       -0.07498        1.00005        0.99965
0.018461        0.99958        0.99963        1.00005        0.86444        0.96832       -0.00145        0.04883       -0.07620        1.00006        0.99965
0.018762        0.99957        0.99962        1.00005        0.86444        0.96832       -0.00147        0.04963       -0.07744        1.00006        0.99964
0.019067        0.99956        0.99961        1.00005        0.86444        0.96832       -0.00149        0.05044       -0.07870        1.00006        0.99963
0.019377        0.99955        0.99960        1.00005        0.86444        0.96832       -0.00152        0.05126       -0.07997        1.00006        0.99962
0.019692        0.99954        0.99959        1.00005        0.86445        0.96832       -0.00154        0.05209       -0.08128        1.00006        0.99961
0.020012        0.99953        0.99958        1.00005        0.86445        0.96832       -0.00157        0.05294       -0.08260        1.00006        0.99960
0.020338        0.99951        0.99956        1.00005        0.86445        0.96832       -0.00159        0.05380       -0.08394        1.00007        0.99958
0.020669        0.99949        0.99955        1.00006        0.86446        0.96832       -0.00162        0.05467       -0.08531        1.00007        0.99957
0.021005        0.99947        0.99953        1.00006        0.86446        0.96832       -0.00164        0.05556       -0.08669        1.00007        0.99955
0.021347        0.99945        0.99951        1.00006        0.86447        0.96832       -0.00167        0.05647       -0.08810        1.00007        0.99953
0.021694        0.99943        0.99949        1.00006        0.86447        0.96832       -0.00170        0.05739       -0.08953        1.00008        0.99952
