xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.184207        5.64340        0.245        5.573620        6.132247        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.05        4.75        0.78        1.164        1.040        1.45      337.72        2.45        5.17         0        1.92        2.79        2.86        0.00        0.00        0.76        0.1214        2.66        1.66        2.6        0.0        0.000        0.00        0.00        1.87        1.09        1.1        0.27        1.19       -0.19        1.17
0.184207        7.03590        0.163        6.923380        7.823432        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.31        0.78        0.865        0.876        0.63       19.88        1.63       11.90         0        2.00        2.81        3.01        0.00        0.00        0.77        0.0953        2.60        1.61        2.8        0.0        0.000        0.00        0.00        1.83        1.22        1.2        0.26        1.07       -0.15        1.17
0.145635        7.22620        0.163        6.887031        7.565381        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.38        0.78        0.876        0.892        0.63       24.05        1.63       11.90         0        2.02        2.85        3.06        0.00        0.00        0.77        0.0750        3.05        2.29        3.6        0.0        0.000        0.00        0.00        2.00        1.51        1.5        0.28        1.07       -0.15        1.17
0.145635        7.07130        0.163        6.474210        7.270326        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.32        0.78        0.867        0.882        0.63       23.80        1.63       11.90         0        2.02        2.77        3.09        0.00        0.00        0.77        0.0756        3.07        2.31        3.5        0.0        0.000        0.00        0.00        2.00        1.52        1.5        0.29        1.05       -0.15        1.17
0.145635        5.82820        0.245        5.698220        6.217974        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.05        4.83        0.77        1.183        1.060        1.45     -216.88        2.45        5.17         0        1.94        2.78        2.89        0.00        0.00        0.75        0.0950        3.12        2.33        3.5        0.0        0.000        0.00        0.00        2.04        1.32        1.3        0.28        1.20       -0.20        1.18
0.145635        4.91110        0.327        4.429724        4.979895        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.08        4.43        0.77        1.449        1.224        2.27      -28.18        3.27        3.30         0        1.87        2.63        2.70        0.00        0.00        0.74        0.1144        3.17        2.33        3.6        0.0        0.000        0.00        0.00        2.07        1.20        1.2        0.28        1.33       -0.24        1.19
0.145635        4.18140        0.408        3.846845        4.234353        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.12        4.09        0.77        1.669        1.369        3.08      -17.29        4.08        2.44         0        1.81        2.55        2.59        0.00        0.00        0.73        0.1345        3.21        2.34        3.6        0.0        0.000        0.00        0.00        2.10        1.12        1.1        0.28        1.44       -0.29        1.19
0.145635        0.05490        0.816        0.054878        0.057695        0.816        0.816        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.98        0.47        0.97        0.382        0.269        7.16      -46.90        8.16        1.05         1        2.37        2.82        2.92        0.00        0.00        0.83        1.1169        3.91        3.99        6.4        0.0        0.000        0.00        0.00        2.13        1.12        1.1        0.60        1.93       -3.34        1.46
0.115140        3.71840        0.490        3.474195        3.880096        0.490        0.490        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.16        3.86        0.77        1.890        1.525        3.90      -12.38        4.90        1.92         0        1.78        2.43        2.50        0.00        0.00        0.71        0.1209        3.85        3.17        4.8        0.0        0.000        0.00        0.00        2.33        1.26        1.3        0.29        1.54       -0.34        1.20
0.115140        0.05400        0.898        0.052946        0.060324        0.898        0.898        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.34        0.46        0.97        0.418        0.302        7.98      -12.53        8.98        0.94         1        2.37        2.81        2.94        0.00        0.00        0.82        0.9605        4.69        5.18        7.9        0.0        0.000        0.00        0.00        2.33        1.23        1.2        0.59        2.19       -3.64        1.52
