xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.662098        0.00490        1.034        0.00470        0.00555        0.970        1.098        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.58        0.07        0.99        0.073        0.019        9.34        3.58       10.34        3.21         3        2.77        3.02        3.57        5.05        1.08        0.943        3.4576        1.53        0.55        1.0        0.3        0.114        1.27        0.64        1.30        0.70        0.7        0.25        1.18       -1.72        1.34
0.369139        0.01580        1.659        0.01515        0.01710        1.563        1.754        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.11        0.13        0.99        0.208        0.053       15.59        4.89       16.59        1.92         2        2.56        2.88        3.47        6.05        1.11        0.909        1.6971        2.02        1.72        2.0        0.5        0.187        1.49        0.90        1.57        1.10        1.1        0.50        1.23       -1.67        1.33
0.303817        0.01630        1.813        0.01533        0.01655        1.706        1.920        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.60        0.13        0.98        0.232        0.058       17.13        5.35       18.13        1.75         2        2.58        2.88        3.46        6.19        1.11        0.901        1.4956        2.25        2.15        2.5        0.5        0.180        1.58        0.98        1.75        1.34        1.3        0.52        1.29       -1.84        1.35
0.275628        0.10980        2.053        0.10417        0.12016        2.018        2.298        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        2.85        0.33        0.97        0.680        0.169       19.53       10.26       20.53        1.54         1        2.23        2.65        3.36        7.86        1.14        0.875        0.6444        2.32        3.29        2.3        0.1        0.069        1.63        1.28        1.63        1.32        1.3        0.44        1.08       -0.80        1.25
0.275628        0.00080        2.007        0.00082        0.00087        1.884        2.131        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0       32.47        0.03        0.99        0.058        0.016       19.07       16.36       20.07        1.57         6        3.01        3.20        3.21        3.72        1.07        0.895        6.5509        2.35        1.75        3.3        0.2        0.073        1.61        0.60    12902.04  4253559.00 38423510.0        0.49        5.40       -9.29        2.67
0.275628        0.01650        1.868        0.01571        0.01704        1.759        1.977        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.77        0.13        0.98        0.240        0.061       17.68        5.60       18.68        1.70         2        2.59        2.88        3.50        6.50        1.11        0.898        1.3882        2.39        2.40        2.8        0.9        0.273        1.63        1.06        1.91        1.69        1.7        0.53        1.28       -1.90        1.35
0.275628        0.01660        1.886        0.01601        0.01890        1.747        2.025        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.83        0.13        0.98        0.243        0.061       17.86        5.59       18.86        1.68         2        2.59        2.89        3.48        6.38        1.11        0.897        1.3973        2.39        2.40        2.8        0.7        0.231        1.63        1.04        1.90        1.61        1.6        0.53        1.31       -1.91        1.36
0.250054        0.00090        2.111        0.00080        0.00089        1.859        2.195        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0       33.98        0.03        0.99        0.062        0.017       20.11        8.24       21.11        1.49         6        3.01        3.21        3.22        3.74        1.07        0.890        6.1842        2.49        2.00        3.6        0.2        0.100        1.66        0.62    16391.77  3070602.00 25307530.0        0.49        5.49       -9.68        2.70
0.250054        0.11200        2.108        0.11201        0.11719        1.824        2.149        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        2.90        0.33        0.97        0.706        0.175       20.08       12.09       21.08        1.49         1        2.25        2.65        3.38        8.10        1.14        0.871        0.5947        2.46        3.57        2.6        0.2        0.082        1.68        1.36        1.68        1.42        1.4        0.45        1.09       -0.83        1.25
0.250054        0.01680        1.942        0.01577        0.01870        1.887        2.108        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.99        0.13        0.98        0.252        0.064       18.42        5.82       19.42        1.63         2        2.60        2.89        3.51        6.72        1.12        0.895        1.2954        2.54        2.67        3.1        1.2        0.322        1.68        1.13        2.10        2.11        2.1        0.54        1.30       -1.98        1.36
