xi              mu             p            mu_min          mu_max          p_min        p_max         ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
4.941713        0.05050        1.653        0.045574        0.051871        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.65        0.22        1.00        0.371        0.126      164.30       34.06      165.30        1.83         1        2.01        2.58        2.85        0.00        0.00        0.99       13.7769        1.09       -0.81        0.2        0.0        0.000        0.00        0.00        1.05        0.06        0.1        0.99        1.44       -1.15        1.01
4.941713        0.05010        1.837        0.050090        0.056734        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.08        0.22        1.00        0.411        0.140      182.70       32.82      183.70        1.64         1        2.00        2.53        2.63        0.00        0.00        0.99       15.1414        1.09       -0.81        0.2        0.0        0.000        0.00        0.00        1.05        0.05        0.0        0.98        1.71       -1.33        1.02
4.941713        0.04950        1.837        0.045738        0.050672        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.10        0.22        1.00        0.409        0.139      182.70       33.15      183.70        1.64         1        2.00        2.58        2.66        0.00        0.00        0.99       15.1946        1.09       -0.81        0.2        0.0        0.000        0.00        0.00        1.05        0.05        0.0        0.98        1.74       -1.29        1.01
3.906940        0.05150        1.837        0.048073        0.057236        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.02        0.23        1.00        0.417        0.143      182.70       43.15      183.70        1.64         1        2.03        2.55        2.85        0.00        0.00        0.99       11.9612        1.12       -0.76        0.2        0.0        0.000        0.00        0.00        1.06        0.06        0.1        1.00        1.53       -1.31        1.01
3.906940        0.04850        2.204        0.045965        0.050478        2.204        2.204         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.98        0.22        1.00        0.485        0.168      219.40       39.23      220.40        1.37         1        1.98        2.51        2.54        0.00        0.00        0.99       14.1012        1.12       -0.77        0.2        0.0        0.000        0.00        0.00        1.06        0.05        0.0        0.99        2.12       -1.54        1.02
3.906940        0.05070        2.020        0.050685        0.053259        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.46        0.23        1.00        0.455        0.157      201.00       41.53      202.00        1.49         1        2.01        2.54        2.66        0.00        0.00        0.99       13.0134        1.12       -0.76        0.2        0.0        0.000        0.00        0.00        1.06        0.05        0.1        0.99        1.79       -1.46        1.02
3.906940        1.42390        1.102        1.233504        1.436551        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.45        1.19        0.99        1.315        0.927      109.20       43.13      110.20        2.75         0        1.03        2.25        2.38        0.00        0.00        0.99        1.7349        1.12       -0.77        0.2        0.0        0.000        0.00        0.00        1.06        0.08        0.1        0.98        0.85       -0.17        0.98
3.906940        0.05220        1.653        0.052169        0.055576        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.60        0.23        1.00        0.378        0.129      164.30       42.88      165.30        1.83         1        2.04        2.56        2.96        0.00        0.00        0.99       10.8446        1.12       -0.76        0.2        0.0        0.000        0.00        0.00        1.06        0.07        0.1        1.00        1.29       -1.22        1.01
3.906940        0.05260        1.469        0.052603        0.057788        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.18        0.23        1.00        0.337        0.114      145.90       42.39      146.90        2.06         1        2.05        2.57        3.13        0.00        0.00        0.99        9.6890        1.12       -0.76        0.2        0.0        0.000        0.00        0.00        1.05        0.08        0.1        1.00        1.08       -1.10        1.01
3.906940        0.05350        1.653        0.053542        0.064578        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.55        0.23        1.00        0.382        0.131      164.30       42.70      165.30        1.83         1        2.05        2.57        2.93        0.00        0.00        0.99       10.7593        1.12       -0.76        0.2        0.0        0.000        0.00        0.00        1.06        0.07        0.1        1.00        1.27       -1.24        1.01
