xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.205805        0.00250        2.236        0.00227        0.00267        2.165        2.260        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       21.24        0.05        0.99        0.111        0.032       21.36        8.96       22.36        1.40         4        2.91        3.11        3.26        4.30        1.09        0.884        3.2037        2.91        2.69        4.4        0.2        0.119        1.81        0.78      979.21   100869.60  1657892.0        0.55        3.18       -6.33        1.96
0.205805        0.00240        2.131        0.00220        0.00246        2.005        2.257        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       20.26        0.05        0.99        0.105        0.030       20.31        9.95       21.31        1.48         4        2.93        3.11        3.31        4.42        1.09        0.889        3.0876        2.92        2.73        4.5        0.2        0.112        1.81        0.80      830.68    86683.16  1515597.0        0.57        2.90       -6.14        1.89
0.186710        0.00140        2.609        0.00137        0.00145        2.476        2.742        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       32.93        0.04        0.99        0.098        0.029       25.09      115.24       26.09        1.20         5        2.94        3.14        3.17        3.82        1.09        0.867        4.3476        3.01        2.77        4.8        0.3        0.118        1.85        0.71     6881.34   407167.50  3582212.0        0.48        5.30       -9.10        2.60
0.186710        0.00140        2.726        0.00136        0.00163        2.532        2.919        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       34.33        0.04        0.99        0.103        0.030       26.25       14.42       27.25        1.14         5        2.91        3.12        3.13        3.72        1.10        0.861        4.4728        2.97        2.68        4.6        0.2        0.097        1.85        0.69     6279.70   355843.30  3026974.0        0.45        5.87       -9.17        2.76
0.186710        0.08790        2.177        0.08790        0.10537        2.064        2.289        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.41        0.30        0.97        0.645        0.199       20.77       19.33       21.77        1.44         1        2.23        2.64        3.27        8.42        1.10        0.874        0.5340        3.13        3.80        4.4        0.4        0.193        1.88        1.58        1.98        1.94        1.9        0.55        1.10       -1.15        1.26
0.186710        0.08510        2.271        0.08332        0.09362        2.095        2.330        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.62        0.29        0.97        0.663        0.204       21.71       32.31       22.71        1.38         1        2.21        2.63        3.27        8.05        1.14        0.869        0.5575        3.11        3.75        4.0        0.5        0.194        1.88        1.51        1.99        1.88        1.9        0.53        1.19       -1.16        1.28
0.186710        0.01520        2.131        0.01523        0.01687        2.087        2.262        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        8.11        0.12        0.99        0.263        0.074       20.31        7.43       21.31        1.48         2        2.60        2.88        3.40        6.74        1.10        0.887        1.1321        3.14        3.33        4.6        1.5        0.396        1.88        1.26        4.09        8.47        8.5        0.58        1.42       -2.46        1.40
0.186710        0.00250        2.538        0.00224        0.00263        2.374        2.702        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       23.87        0.05        0.99        0.128        0.037       24.38        7.16       25.38        1.23         4        2.88        3.09        3.20        4.13        1.10        0.870        3.1831        3.07        2.92        4.8        0.2        0.113        1.87        0.77     1502.57   111356.60  1549225.0        0.51        3.77       -6.82        2.13
0.186710        0.00140        2.753        0.00139        0.00156        2.528        2.978        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       34.67        0.04        0.99        0.104        0.030       26.53      -42.70       27.53        1.13         5        2.91        3.11        3.12        3.70        1.10        0.860        4.5013        2.96        2.66        4.6        0.1        0.069        1.85        0.68     5922.32   326948.20  2771982.0        0.44        6.01       -9.18        2.80
0.169387        0.00140        2.626        0.00136        0.00150        2.428        2.824        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       32.93        0.04        0.99        0.099        0.029       25.26        8.58       26.26        1.19         5        2.96        3.15        3.21        3.95        1.09        0.866        3.9612        3.25        3.19        5.3        0.3        0.159        1.93        0.76     7613.09   337119.70  2944203.0        0.50        4.92       -9.27        2.50
0.169387        0.09140        2.091        0.09139        0.10680        1.982        2.201        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.21        0.30        0.97        0.632        0.195       19.91       16.26       20.91        1.51         1        2.27        2.66        3.40        9.07        1.08        0.878        0.4644        3.37        4.25        5.0        0.4        0.199        1.95        1.77        2.06        2.21        2.2        0.57        0.96       -1.12        1.23
0.169387        0.00150        2.886        0.00144        0.00153        2.705        3.066        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       35.95        0.04        0.99        0.110        0.032       27.86        9.80       28.86        1.08         5        2.91        3.12        3.13        3.73        1.10        0.854        4.2023        3.16        2.97        5.0        0.2        0.105        1.91        0.71     6192.71   245498.20  2001245.0        0.44        6.10       -9.42        2.83
0.169387        0.00150        2.761        0.00139        0.00162        2.628        2.895        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       34.51        0.04        0.99        0.105        0.031       26.61       37.96       27.61        1.13         5        2.94        3.14        3.18        3.83        1.10        0.860        4.0917        3.21        3.08        5.2        0.2        0.113        1.92        0.74     6849.98   283670.40  2360645.0        0.47        5.51       -9.38        2.67
0.169387        0.00260        2.679        0.00228        0.00264        2.454        2.904        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       24.97        0.05        0.99        0.137        0.040       25.79       12.11       26.79        1.16         4        2.89        3.09        3.21        4.15        1.10        0.863        2.9927        3.28        3.25        5.3        0.3        0.138        1.94        0.80     1912.08   109168.60  1431488.0        0.50        3.90       -7.04        2.17
0.169387        0.00090        2.654        0.00080        0.00091        2.556        2.660        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       42.30        0.03        0.99        0.079        0.023       25.54      457.89       26.54        1.17         6        3.00        3.18        3.19        3.75        1.09        0.865        5.0625        3.20        3.06        5.2        0.4        0.173        1.91        0.72    18189.31   551928.60  3517968.0        0.47        6.52      -11.60        3.01
