xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
10.000000       19.69350        0.245       17.733159       20.346932        0.245        0.245        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.03        4.44        0.98        1.087        0.451       23.50       12.01       24.50       12.77         0        1.91        3.07        3.29        0.00        0.00        0.98        1.2055        1.03       -0.93        0.0        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.90        0.96       -0.01        0.92
10.000000        0.17520        1.469        0.168383        0.182015        1.469        1.469        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        1.74        0.42        1.00        0.615        0.057      145.90        2.63      146.90        2.06         1        2.23        2.66        3.35        0.00        0.00        0.99        7.1839        1.02       -0.95        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.99        1.16       -0.07        0.98
7.906043        0.17690        1.714        0.170535        0.183200        1.714        1.714        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.02        0.42        1.00        0.721        0.074      170.40        3.67      171.40        1.76         1        2.24        2.65        3.23        0.00        0.00        0.99        7.3066        1.04       -0.93        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.00        1.34       -0.16        0.99
7.906043        0.16840        1.714        0.147266        0.168396        1.714        1.714        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.07        0.41        1.00        0.703        0.073      170.40        3.63      171.40        1.76         1        2.22        2.64        3.48        0.00        0.00        0.99        7.3981        1.04       -0.93        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.99        1.29       -0.13        0.98
7.906043        0.16990        1.469        0.168335        0.181185        1.469        1.469        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        1.77        0.41        1.00        0.606        0.063      145.90        4.86      146.90        2.06         1        2.23        2.65        3.50        0.00        0.00        0.99        6.4981        1.04       -0.91        0.1        0.0        0.000        0.00        0.00        1.02        0.05        0.0        1.00        1.05       -0.17        0.98
7.906043        0.17500        1.959        0.161439        0.188568        1.959        1.959        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.33        0.42        1.00        0.820        0.083      194.90        2.50      195.90        1.54         1        2.23        2.63        3.00        0.00        0.00        0.99        8.0028        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.02        0.03        0.0        0.99        1.69       -0.13        1.00
7.906043        0.17160        2.204        0.161213        0.181923        2.204        2.204        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.65        0.41        1.00        0.913        0.090      219.40        1.45      220.40        1.37         1        2.22        2.63        2.80        0.00        0.00        0.99        8.4738        1.02       -0.96        0.0        0.0        0.000        0.00        0.00        1.02        0.01        0.0        0.98        2.07       -0.10        1.01
7.906043        0.18820        1.714        0.185899        0.204080        1.714        1.714        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        1.96        0.43        1.00        0.744        0.077      170.40        3.74      171.40        1.76         1        2.26        2.67        3.20        0.00        0.00        0.99        7.2033        1.04       -0.93        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.00        1.34       -0.20        1.00
7.906043        0.19110        2.204        0.187828        0.213990        2.204        2.204        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.51        0.44        1.00        0.963        0.096      219.40        1.51      220.40        1.37         1        2.26        2.63        2.84        0.00        0.00        0.99        8.2674        1.02       -0.96        0.0        0.0        0.000        0.00        0.00        1.02        0.01        0.0        0.99        1.96       -0.13        1.02
7.906043        0.19720        1.959        0.190983        0.215851        1.959        1.959        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.19        0.44        1.00        0.870        0.089      194.90        2.60      195.90        1.54         1        2.27        2.66        3.01        0.00        0.00        0.99        7.7953        1.03       -0.94        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.00        1.61       -0.19        1.01
7.906043       18.21680        0.245       16.287761       18.345406        0.245        0.245        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.03        4.27        0.98        1.046        0.450       23.50       14.93       24.50       12.77         0        1.93        3.03        3.39        0.00        0.00        0.98        1.0121        1.05       -0.91        0.0        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.92        0.97       -0.02        0.94
7.906043       19.30370        0.245       18.612603       19.994830        0.245        0.245        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        0.03        4.39        0.98        1.076        0.470       23.50       14.97       24.50       12.77         0        1.93        2.96        3.19        0.00        0.00        0.98        0.9952        1.04       -0.91        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.93        1.00       -0.03        0.95
6.250552        0.18010        2.449        0.168762        0.191505        2.449        2.449        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        2.87        0.42        1.00        1.039        0.111      243.90        2.36      244.90        1.23         1        2.24        2.60        2.79        0.00        0.00        0.99        7.7986        1.03       -0.93        0.1        0.0        0.000        0.00        0.00        1.02        0.03        0.0        1.00        2.16       -0.24        1.03
6.250552        0.14120        2.694        0.134651        0.147822        2.694        2.694        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        3.57        0.38        1.00        1.012        0.103      268.40        1.25      269.40        1.12         1        2.15        2.53        2.58        0.00        0.00        0.99        8.4781        1.02       -0.96        0.0        0.0        0.000        0.00        0.00        1.02        0.01        0.0        1.00        2.76       -0.12        1.03
6.250552        0.15610        1.469        0.155367        0.161357        1.469        1.469        0.01        1.0        1.0        1.0        4.0        -2.0       -2.0       -2.0       -2.0        1.85        0.40        1.00        0.580        0.065      145.90        7.41      146.90        2.06         1        2.22        2.63        3.98        0.00        0.00        0.99        5.7264        1.06       -0.88        0.1        0.0        0.000        0.00        0.00        1.02        0.05        0.0        1.01        0.85       -0.21        0.97
