xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.442888        0.00160        0.900        0.00142        0.00157        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       10.03        0.04        0.99        0.036        0.007        8.00        2.00        9.00        3.75         5        3.03        3.24        3.36        0.00        0.00        0.953        9.5274        1.15        0.18        0.3        0.0        0.000        0.00        0.00        1.10        0.38        0.4        1.55        2.89       -1.44        1.91
1.442888        0.00300        0.700        0.00287        0.00328        0.700        0.700        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.46        0.05        0.99        0.038        0.007        6.00        1.50        7.00        5.00         4        2.99        3.15        3.76        0.00        0.00        0.963        5.4849        1.16        0.43        0.2        0.0        0.000        0.00        0.00        1.10        0.45        0.5        1.67        0.98       -0.59        1.29
1.442888        0.00310        0.800        0.00302        0.00323        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.28        0.06        0.99        0.044        0.008        7.00        1.70        8.00        4.29         4        3.00        3.16        3.54        0.00        0.00        0.958        6.0955        1.16        0.44        0.3        0.0        0.000        0.00        0.00        1.10        0.42        0.4        1.63        1.55       -0.86        1.48
1.442888        0.00310        0.900        0.00281        0.00316        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.15        0.06        0.99        0.050        0.009        8.00        1.83        9.00        3.75         4        2.98        3.17        3.41        0.00        0.00        0.953        6.7137        1.15        0.44        0.3        0.0        0.000        0.00        0.00        1.10        0.40        0.4        1.60        1.96       -1.01        1.61
1.442888        0.00310        1.100        0.00283        0.00330        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.98        0.06        0.99        0.061        0.011       10.00        1.63       11.00        3.00         4        2.90        3.15        3.23        0.00        0.00        0.943        7.8574        1.12        0.38        0.3        0.0        0.000        0.00        0.00        1.09        0.36        0.4        1.61        2.89       -1.00        1.88
1.442888        0.00750        0.900        0.00748        0.00781        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        4.58        0.09        0.99        0.078        0.013        8.00        1.42        9.00        3.75         3        2.86        3.06        3.56        0.00        0.00        0.951        4.1503        1.14        0.86        0.3        0.0        0.000        0.00        0.00        1.10        0.42        0.4        1.69        1.17       -0.53        1.34
1.442888        0.00760        1.000        0.00760        0.00820        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.12        0.09        0.99        0.087        0.014        9.00        1.40       10.00        3.33         3        2.85        3.07        3.45        0.00        0.00        0.946        4.4699        1.13        0.85        0.3        0.0        0.000        0.00        0.00        1.09        0.40        0.4        1.69        1.41       -0.55        1.42
1.442888        0.00760        1.100        0.00743        0.00789        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.68        0.09        0.99        0.096        0.015       10.00        1.36       11.00        3.00         3        2.83        3.07        3.38        0.00        0.00        0.941        4.7902        1.12        0.83        0.2        0.0        0.000        0.00        0.00        1.09        0.39        0.4        1.70        1.66       -0.43        1.48
1.442888        0.00760        1.200        0.00729        0.00800        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.23        0.09        0.99        0.105        0.016       11.00        1.21       12.00        2.73         3        2.81        3.07        3.30        0.00        0.00        0.936        5.0545        1.10        0.81        0.1        0.0        0.000        0.00        0.00        1.08        0.37        0.4        1.73        1.94       -0.36        1.56
1.442888        0.00780        1.000        0.00780        0.00907        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.05        0.09        0.99        0.088        0.014        9.00        1.39       10.00        3.33         3        2.88        3.07        3.46        0.00        0.00        0.946        4.4051        1.13        0.87        0.3        0.0        0.000        0.00        0.00        1.09        0.41        0.4        1.71        1.37       -0.66        1.42
1.442888        0.00790        1.200        0.00788        0.00848        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.14        0.09        0.99        0.107        0.016       11.00        1.19       12.00        2.73         3        2.84        3.08        3.31        0.00        0.00        0.936        4.9685        1.10        0.82        0.2        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.75        1.88       -0.57        1.56
1.309013        0.00300        1.200        0.00292        0.00329        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        9.90        0.06        0.99        0.066        0.012       11.00        1.86       12.00        2.73         4        2.88        3.14        3.18        0.00        0.00        0.937        7.9320        1.14        0.42        0.3        0.0        0.000        0.00        0.00        1.10        0.37        0.4        1.96        3.23       -1.20        1.97
1.309013        0.00030        0.700        0.00027        0.00032        0.700        0.700        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       17.33        0.02        0.99        0.012        0.003        6.00        3.42        7.00        5.00         9        3.28        3.36        3.44        0.00        0.00        0.963       16.5274        1.17       -0.18        0.5        0.0        0.000        0.00        0.00        1.09        0.39        0.4        1.93        4.85       -3.51        2.64
1.309013        0.00060        0.800        0.00055        0.00060        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       14.23        0.02        0.99        0.020        0.004        7.00        2.74        8.00        4.29         7        3.17        3.34        3.38        0.00        0.00        0.958       13.1975        1.18       -0.02        0.5        0.0        0.000        0.00        0.00        1.11        0.39        0.4        1.85        3.95       -2.92        2.30
1.309013        0.00090        0.800        0.00084        0.00096        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       11.37        0.03        0.99        0.024        0.005        7.00        2.44        8.00        4.29         6        3.15        3.30        3.42        0.00        0.00        0.958       10.5784        1.19        0.10        0.5        0.0        0.000        0.00        0.00        1.11        0.40        0.4        1.82        2.95       -2.35        1.97
1.309013        0.00090        0.900        0.00078        0.00092        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       13.11        0.03        0.99        0.027        0.006        8.00        2.67        9.00        3.75         6        3.08        3.29        3.31        0.00        0.00        0.953       11.7532        1.17        0.07        0.4        0.0        0.000        0.00        0.00        1.11        0.38        0.4        1.82        3.90       -2.34        2.25
1.309013        0.00160        0.800        0.00148        0.00162        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.71        0.04        0.99        0.032        0.007        7.00        2.10        8.00        4.29         5        3.10        3.24        3.47        0.00        0.00        0.958        8.0774        1.19        0.27        0.4        0.0        0.000        0.00        0.00        1.11        0.41        0.4        1.85        2.17       -1.69        1.70
1.309013        0.00160        0.900        0.00135        0.00162        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        9.99        0.04        0.99        0.036        0.007        8.00        2.19        9.00        3.75         5        3.05        3.24        3.36        0.00        0.00        0.953        8.9592        1.18        0.25        0.4        0.0        0.000        0.00        0.00        1.11        0.40        0.4        1.82        2.75       -1.81        1.87
1.309013        0.00160        1.000        0.00147        0.00160        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       11.31        0.04        0.99        0.039        0.008        9.00        2.40       10.00        3.33         5        3.00        3.23        3.27        0.00        0.00        0.948        9.7997        1.17        0.22        0.4        0.0        0.000        0.00        0.00        1.11        0.38        0.4        1.85        3.43       -1.79        2.07
1.309013        0.00300        0.700        0.00303        0.00321        0.700        0.700        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.40        0.06        0.99        0.039        0.008        6.00        1.59        7.00        5.00         4        3.02        3.15        3.67        0.00        0.00        0.962        5.1230        1.19        0.49        0.4        0.0        0.000        0.00        0.00        1.11        0.46        0.5        1.97        1.12       -0.99        1.36
