x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99964        0.99965        1.00001        2.33579        0.84164       -0.00229        0.02155       -0.00894        1.00001        0.99985
0.010163        0.99963        0.99964        1.00001        2.33578        0.84164       -0.00233        0.02190       -0.00909        1.00001        0.99984
0.010328        0.99961        0.99962        1.00001        2.33576        0.84164       -0.00237        0.02226       -0.00924        1.00001        0.99984
0.010496        0.99959        0.99960        1.00001        2.33575        0.84164       -0.00241        0.02262       -0.00939        1.00002        0.99983
0.010667        0.99957        0.99959        1.00001        2.33573        0.84163       -0.00244        0.02299       -0.00954        1.00002        0.99982
0.010840        0.99955        0.99957        1.00001        2.33572        0.84163       -0.00248        0.02336       -0.00970        1.00002        0.99981
0.011016        0.99954        0.99955        1.00001        2.33570        0.84163       -0.00252        0.02374       -0.00985        1.00002        0.99981
0.011196        0.99952        0.99953        1.00001        2.33569        0.84162       -0.00257        0.02413       -0.01001        1.00002        0.99980
0.011378        0.99950        0.99951        1.00002        2.33567        0.84162       -0.00261        0.02452       -0.01018        1.00002        0.99979
0.011563        0.99948        0.99949        1.00002        2.33565        0.84162       -0.00265        0.02492       -0.01034        1.00002        0.99978
0.011751        0.99946        0.99947        1.00002        2.33564        0.84162       -0.00269        0.02532       -0.01051        1.00002        0.99977
0.011942        0.99943        0.99945        1.00002        2.33562        0.84161       -0.00274        0.02573       -0.01068        1.00002        0.99976
0.012136        0.99941        0.99943        1.00002        2.33560        0.84161       -0.00278        0.02615       -0.01085        1.00002        0.99975
0.012334        0.99939        0.99941        1.00002        2.33559        0.84161       -0.00283        0.02658       -0.01103        1.00002        0.99975
0.012534        0.99937        0.99939        1.00002        2.33557        0.84161       -0.00287        0.02701       -0.01121        1.00002        0.99974
0.012738        0.99935        0.99937        1.00002        2.33555        0.84160       -0.00292        0.02745       -0.01139        1.00002        0.99973
0.012945        0.99933        0.99935        1.00002        2.33553        0.84160       -0.00297        0.02790       -0.01158        1.00003        0.99972
0.013156        0.99930        0.99932        1.00002        2.33551        0.84160       -0.00301        0.02835       -0.01176        1.00003        0.99971
0.013370        0.99928        0.99930        1.00002        2.33550        0.84159       -0.00306        0.02881       -0.01196        1.00003        0.99970
0.013587        0.99926        0.99928        1.00002        2.33548        0.84159       -0.00311        0.02928       -0.01215        1.00003        0.99969
0.013808        0.99923        0.99926        1.00002        2.33546        0.84159       -0.00316        0.02976       -0.01235        1.00003        0.99968
0.014033        0.99921        0.99923        1.00002        2.33544        0.84158       -0.00322        0.03024       -0.01255        1.00003        0.99967
0.014261        0.99918        0.99921        1.00002        2.33542        0.84158       -0.00327        0.03073       -0.01275        1.00003        0.99966
0.014493        0.99916        0.99918        1.00003        2.33540        0.84158       -0.00332        0.03123       -0.01296        1.00003        0.99965
0.014729        0.99913        0.99916        1.00003        2.33538        0.84157       -0.00337        0.03174       -0.01317        1.00003        0.99964
0.014968        0.99911        0.99913        1.00003        2.33536        0.84157       -0.00343        0.03226       -0.01338        1.00003        0.99963
0.015212        0.99908        0.99911        1.00003        2.33533        0.84157       -0.00349        0.03278       -0.01360        1.00003        0.99962
0.015459        0.99905        0.99908        1.00003        2.33531        0.84156       -0.00354        0.03331       -0.01382        1.00004        0.99960
0.015711        0.99903        0.99906        1.00003        2.33529        0.84156       -0.00360        0.03386       -0.01405        1.00004        0.99959
0.015966        0.99900        0.99903        1.00003        2.33527        0.84155       -0.00366        0.03441       -0.01428        1.00004        0.99958
0.016226        0.99897        0.99900        1.00003        2.33524        0.84155       -0.00372        0.03497       -0.01451        1.00004        0.99957
0.016490        0.99894        0.99897        1.00003        2.33522        0.84155       -0.00378        0.03554       -0.01474        1.00004        0.99956
0.016758        0.99891        0.99894        1.00003        2.33520        0.84154       -0.00384        0.03611       -0.01498        1.00004        0.99955
0.017031        0.99888        0.99892        1.00003        2.33517        0.84154       -0.00390        0.03670       -0.01523        1.00004        0.99953
0.017308        0.99885        0.99889        1.00003        2.33515        0.84153       -0.00397        0.03730       -0.01547        1.00004        0.99952
0.017589        0.99882        0.99886        1.00004        2.33512        0.84153       -0.00403        0.03790       -0.01573        1.00004        0.99951
0.017875        0.99879        0.99883        1.00004        2.33510        0.84153       -0.00410        0.03852       -0.01598        1.00005        0.99949
0.018166        0.99876        0.99880        1.00004        2.33507        0.84152       -0.00416        0.03915       -0.01624        1.00005        0.99948
0.018461        0.99873        0.99877        1.00004        2.33505        0.84152       -0.00423        0.03978       -0.01650        1.00005        0.99947
0.018762        0.99869        0.99873        1.00004        2.33502        0.84151       -0.00430        0.04043       -0.01677        1.00005        0.99945
0.019067        0.99866        0.99870        1.00004        2.33499        0.84151       -0.00437        0.04109       -0.01705        1.00005        0.99944
0.019377        0.99863        0.99867        1.00004        2.33497        0.84150       -0.00444        0.04176       -0.01732        1.00005        0.99943
0.019692        0.99859        0.99864        1.00004        2.33494        0.84150       -0.00451        0.04244       -0.01760        1.00005        0.99941
0.020012        0.99856        0.99860        1.00004        2.33491        0.84149       -0.00458        0.04313       -0.01789        1.00005        0.99940
0.020338        0.99851        0.99855        1.00005        2.33487        0.84149       -0.00466        0.04383       -0.01818        1.00006        0.99938
0.020669        0.99845        0.99849        1.00005        2.33482        0.84148       -0.00473        0.04454       -0.01848        1.00006        0.99935
0.021005        0.99839        0.99843        1.00005        2.33477        0.84147       -0.00481        0.04527       -0.01878        1.00006        0.99933
0.021347        0.99832        0.99838        1.00005        2.33472        0.84146       -0.00489        0.04600       -0.01908        1.00006        0.99930
0.021694        0.99826        0.99831        1.00005        2.33467        0.84145       -0.00497        0.04675       -0.01939        1.00006        0.99927
0.022047        0.99820        0.99825        1.00005        2.33462        0.84145       -0.00505        0.04751       -0.01970        1.00007        0.99925
0.022405        0.99813        0.99819        1.00006        2.33456        0.84144       -0.00513        0.04828       -0.02002        1.00007        0.99922
0.022770        0.99807        0.99813        1.00006        2.33451        0.84143       -0.00521        0.04907       -0.02035        1.00007        0.99919
0.023140        0.99800        0.99806        1.00006        2.33446        0.84142       -0.00530        0.04987       -0.02068        1.00007        0.99917
0.023516        0.99793        0.99800        1.00006        2.33440        0.84141       -0.00539        0.05068       -0.02102        1.00008        0.99914
0.023899        0.99786        0.99793        1.00006        2.33434        0.84140       -0.00547        0.05150       -0.02136        1.00008        0.99911
0.024288        0.99779        0.99786        1.00007        2.33429        0.84139       -0.00556        0.05234       -0.02170        1.00008        0.99908
0.024683        0.99772        0.99779        1.00007        2.33423        0.84138       -0.00565        0.05319       -0.02206        1.00008        0.99905
0.025084        0.99765        0.99772        1.00007        2.33417        0.84137       -0.00574        0.05406       -0.02241        1.00009        0.99902
0.025492        0.99758        0.99765        1.00007        2.33411        0.84136       -0.00584        0.05494       -0.02278        1.00009        0.99899
0.025907        0.99750        0.99758        1.00008        2.33405        0.84135       -0.00593        0.05583       -0.02315        1.00009        0.99896
0.026328        0.99743        0.99750        1.00008        2.33399        0.84134       -0.00603        0.05674       -0.02352        1.00010        0.99893
