xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.753114        0.00290        0.900        0.00276        0.00298        0.900        0.900        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        7.39        0.05        0.99        0.048        0.009        8.00        1.44        9.00        3.75         4        2.93        3.17        3.31        0.00        0.00        0.955        7.7683        1.09        0.17        0.2        0.0        0.000        0.00        0.00        1.07        0.37        0.4        1.30        2.30       -0.68        1.70
1.753114        0.00290        0.700        0.00286        0.00323        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.56        0.05        0.99        0.038        0.007        6.00        1.29        7.00        5.00         4        2.99        3.16        3.58        0.00        0.00        0.965        6.2389        1.11        0.20        0.2        0.0        0.000        0.00        0.00        1.07        0.40        0.4        1.37        1.34       -0.52        1.41
1.753114        0.00150        0.800        0.00145        0.00158        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        8.95        0.04        1.00        0.031        0.006        7.00        1.58        8.00        4.29         5        3.04        3.25        3.35        0.00        0.00        0.960        9.8364        1.10       -0.02        0.2        0.0        0.000        0.00        0.00        1.07        0.37        0.4        1.29        2.70       -1.13        1.86
1.753114        0.00150        0.700        0.00148        0.00163        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        7.64        0.04        1.00        0.027        0.005        6.00        1.53        7.00        5.00         5        3.10        3.25        3.49        0.00        0.00        0.965        8.6981        1.11       -0.00        0.2        0.0        0.000        0.00        0.00        1.07        0.39        0.4        1.34        2.04       -0.90        1.66
1.753114        0.00150        0.600        0.00147        0.00167        0.600        0.600        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        6.38        0.04        1.00        0.023        0.005        5.00        1.20        6.00        6.00         5        3.13        3.23        3.65        0.00        0.00        0.970        7.4922        1.11       -0.01        0.2        0.0        0.000        0.00        0.00        1.07        0.41        0.4        1.41        1.44       -0.72        1.47
1.753114        0.00090        0.700        0.00086        0.00095        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        9.91        0.03        1.00        0.021        0.004        6.00        1.56        7.00        5.00         6        3.15        3.31        3.43        0.00        0.00        0.966       11.3106        1.10       -0.14        0.3        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.32        2.80       -1.45        1.92
1.753114        0.00290        0.800        0.00287        0.00341        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        6.45        0.05        0.99        0.043        0.008        7.00        1.43        8.00        4.29         4        2.97        3.17        3.43        0.00        0.00        0.960        7.0207        1.10        0.20        0.2        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.33        1.81       -0.68        1.56
1.590455        0.00290        0.700        0.00278        0.00310        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.58        0.05        0.99        0.037        0.007        6.00        1.47        7.00        5.00         4        2.99        3.15        3.62        0.00        0.00        0.964        5.9835        1.14        0.25        0.2        0.0        0.000        0.00        0.00        1.08        0.42        0.4        1.48        1.24       -0.60        1.38
1.590455        0.00060        0.700        0.00058        0.00063        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       12.34        0.02        0.99        0.017        0.004        6.00        1.82        7.00        5.00         7        3.19        3.36        3.42        0.00        0.00        0.965       13.3883        1.12       -0.20        0.3        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.42        3.56       -2.03        2.18
1.590455        0.00090        0.800        0.00085        0.00095        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       11.65        0.03        0.99        0.024        0.005        7.00        2.04        8.00        4.29         6        3.09        3.29        3.33        0.00        0.00        0.960       12.2048        1.12       -0.12        0.3        0.0        0.000        0.00        0.00        1.08        0.37        0.4        1.40        3.59       -1.84        2.16
1.590455        0.00150        0.800        0.00143        0.00157        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        8.93        0.04        0.99        0.031        0.006        7.00        1.96        8.00        4.29         5        3.06        3.25        3.38        0.00        0.00        0.960        9.3823        1.13        0.04        0.3        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.39        2.57       -1.37        1.82
1.590455        0.00150        0.900        0.00141        0.00161        0.900        0.900        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       10.28        0.04        0.99        0.035        0.007        8.00        1.99        9.00        3.75         5        3.00        3.22        3.26        0.00        0.00        0.955       10.3935        1.12        0.01        0.3        0.0        0.000        0.00        0.00        1.08        0.36        0.4        1.40        3.26       -1.52        2.02
1.590455        0.00290        0.800        0.00288        0.00293        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        6.45        0.05        0.99        0.043        0.008        7.00        1.67        8.00        4.29         4        2.98        3.17        3.45        0.00        0.00        0.959        6.7123        1.13        0.25        0.3        0.0        0.000        0.00        0.00        1.09        0.40        0.4        1.43        1.74       -0.84        1.54
1.590455        0.00290        1.000        0.00275        0.00303        1.000        1.000        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        8.32        0.05        0.99        0.054        0.010        9.00        1.74       10.00        3.33         4        2.91        3.15        3.23        0.00        0.00        0.949        8.0750        1.11        0.21        0.3        0.0        0.000        0.00        0.00        1.08        0.36        0.4        1.41        2.68       -1.04        1.82
1.590455        0.00680        0.900        0.00649        0.00715        0.900        0.900        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        4.81        0.08        0.99        0.074        0.013        8.00        1.43        9.00        3.75         3        2.82        3.06        3.49        0.00        0.00        0.953        4.7014        1.12        0.60        0.1        0.0        0.000        0.00        0.00        1.08        0.40        0.4        1.47        1.25       -0.35        1.35
1.590455        0.00700        1.000        0.00697        0.00724        1.000        1.000        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.35        0.08        0.99        0.084        0.014        9.00        1.41       10.00        3.33         3        2.82        3.07        3.36        0.00        0.00        0.948        5.0516        1.11        0.59        0.2        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.47        1.60       -0.49        1.47
1.590455        0.00700        1.100        0.00652        0.00718        1.100        1.100        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.93        0.08        0.99        0.092        0.015       10.00        1.30       11.00        3.00         3        2.80        3.06        3.27        0.00        0.00        0.943        5.3935        1.09        0.57        0.2        0.0        0.000        0.00        0.00        1.08        0.37        0.4        1.48        1.91       -0.48        1.56
1.442888        0.00290        0.700        0.00285        0.00314        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.58        0.05        0.99        0.037        0.008        6.00        1.59        7.00        5.00         4        2.99        3.15        3.64        0.00        0.00        0.963        5.6788        1.16        0.30        0.3        0.0        0.000        0.00        0.00        1.10        0.44        0.4        1.64        1.21       -0.80        1.37
1.442888        0.00040        0.700        0.00039        0.00041        0.700        0.700        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       14.86        0.02        0.99        0.014        0.003        6.00        2.09        7.00        5.00         8        3.23        3.39        3.42        0.00        0.00        0.964       15.1872        1.14       -0.22        0.4        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.60        4.15       -3.00        2.39
1.442888        0.00090        0.800        0.00082        0.00097        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       11.61        0.03        0.99        0.024        0.005        7.00        2.22        8.00        4.29         6        3.11        3.30        3.36        0.00        0.00        0.959       11.5447        1.15       -0.05        0.4        0.0        0.000        0.00        0.00        1.10        0.39        0.4        1.55        3.30       -2.20        2.07
1.442888        0.00150        0.800        0.00151        0.00164        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        8.92        0.04        0.99        0.031        0.007        7.00        2.07        8.00        4.29         5        3.07        3.24        3.41        0.00        0.00        0.959        8.8723        1.16        0.10        0.4        0.0        0.000        0.00        0.00        1.10        0.40        0.4        1.55        2.42       -1.59        1.77
1.442888        0.00150        0.900        0.00134        0.00151        0.900        0.900        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       10.24        0.04        0.99        0.035        0.007        8.00        2.34        9.00        3.75         5        3.02        3.23        3.29        0.00        0.00        0.954        9.8472        1.15        0.08        0.4        0.0        0.000        0.00        0.00        1.10        0.38        0.4        1.55        3.05       -1.79        1.96
1.442888        0.00270        0.600        0.00271        0.00305        0.600        0.600        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        4.77        0.05        0.99        0.031        0.006        5.00        1.32        6.00        6.00         4        2.95        3.13        3.93        0.00        0.00        0.968        5.0290        1.15        0.26        0.3        0.0        0.000        0.00        0.00        1.08        0.46        0.5        1.72        0.64       -0.65        1.18
1.442888        0.00290        1.100        0.00261        0.00316        1.100        1.100        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        9.30        0.05        0.99        0.059        0.011       10.00        1.82       11.00        3.00         4        2.87        3.13        3.18        0.00        0.00        0.943        8.2894        1.13        0.24        0.3        0.0        0.000        0.00        0.00        1.09        0.36        0.4        1.60        3.11       -1.15        1.93
1.442888        0.00290        0.800        0.00281        0.00338        0.800        0.800        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        6.45        0.05        0.99        0.043        0.009        7.00        1.77        8.00        4.29         4        2.98        3.16        3.49        0.00        0.00        0.958        6.3627        1.16        0.31        0.3        0.0        0.000        0.00        0.00        1.10        0.41        0.4        1.59        1.65       -0.99        1.51
1.442888        0.00290        0.900        0.00287        0.00312        0.900        0.900        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        7.36        0.05        0.99        0.049        0.010        8.00        2.00        9.00        3.75         4        2.96        3.16        3.36        0.00        0.00        0.953        7.0352        1.16        0.30        0.3        0.0        0.000        0.00        0.00        1.10        0.39        0.4        1.57        2.07       -1.15        1.64
1.442888        0.00290        1.000        0.00264        0.00314        1.000        1.000        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        8.31        0.05        0.99        0.054        0.011        9.00        2.03       10.00        3.33         4        2.92        3.16        3.27        0.00        0.00        0.948        7.6834        1.15        0.28        0.3        0.0        0.000        0.00        0.00        1.10        0.38        0.4        1.55        2.55       -1.19        1.78
1.442888        0.00680        0.900        0.00648        0.00706        0.900        0.900        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        4.82        0.08        0.99        0.074        0.013        8.00        1.57        9.00        3.75         3        2.81        3.05        3.55        0.00        0.00        0.952        4.4907        1.15        0.66        0.2        0.0        0.000        0.00        0.00        1.10        0.42        0.4        1.63        1.16       -0.43        1.32
