xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.932409        0.01550        1.000        0.01549        0.01694        1.000        1.000        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        3.60        0.12        1.00        0.124        0.025        9.00        1.62       10.00        3.33         2        2.54        2.90        3.07        0.00        0.00        0.951        4.2603        1.09       -0.01        0.3        0.0        0.000        0.00        0.00        1.07        0.35        0.4        1.19        1.34       -0.51        1.36
1.932409        0.00490        0.700        0.00492        0.00533        0.700        0.700        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        4.26        0.07        1.00        0.049        0.010        6.00        1.54        7.00        5.00         3        2.76        3.04        3.41        0.00        0.00        0.967        5.4142        1.11       -0.25        0.2        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.22        1.18       -0.44        1.33
1.932409        0.01530        0.900        0.01525        0.01718        0.900        0.900        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        3.23        0.12        1.00        0.111        0.022        8.00        1.62        9.00        3.75         2        2.54        2.91        3.18        0.00        0.00        0.956        3.9186        1.10       -0.00        0.2        0.0        0.000        0.00        0.00        1.07        0.37        0.4        1.19        1.15       -0.45        1.31
1.932409        0.00080        0.600        0.00076        0.00089        0.600        0.600        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        8.80        0.03        1.00        0.017        0.004        5.00        1.52        6.00        6.00         6        3.16        3.31        3.46        0.00        0.00        0.972       11.2785        1.09       -0.50        0.2        0.0        0.000        0.00        0.00        1.06        0.38        0.4        1.25        2.47       -1.11        1.81
1.932409        0.00130        0.600        0.00131        0.00148        0.600        0.600        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.89        0.04        1.00        0.022        0.005        5.00        1.38        6.00        6.00         5        3.09        3.24        3.47        0.00        0.00        0.972        8.8881        1.10       -0.45        0.3        0.0        0.000        0.00        0.00        1.06        0.39        0.4        1.27        1.82       -1.06        1.59
1.932409        0.00230        0.600        0.00227        0.00267        0.600        0.600        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        5.17        0.05        1.00        0.029        0.006        5.00        1.30        6.00        6.00         4        2.95        3.15        3.53        0.00        0.00        0.972        6.6991        1.10       -0.38        0.2        0.0        0.000        0.00        0.00        1.06        0.39        0.4        1.27        1.28       -0.55        1.39
1.932409        0.00230        0.700        0.00228        0.00245        0.700        0.700        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        6.19        0.05        1.00        0.034        0.007        6.00        1.59        7.00        5.00         4        2.92        3.16        3.35        0.00        0.00        0.967        7.8453        1.10       -0.37        0.2        0.0        0.000        0.00        0.00        1.07        0.37        0.4        1.20        1.86       -0.80        1.57
1.932409        0.00230        0.800        0.00224        0.00247        0.800        0.800        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        7.28        0.05        1.00        0.038        0.008        7.00        1.86        8.00        4.29         4        2.87        3.15        3.20        0.00        0.00        0.962        8.9624        1.10       -0.39        0.2        0.0        0.000        0.00        0.00        1.07        0.35        0.4        1.17        2.49       -0.92        1.75
1.932409        0.00130        0.700        0.00129        0.00146        0.700        0.700        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        8.33        0.04        1.00        0.025        0.005        6.00        1.71        7.00        5.00         5        3.02        3.24        3.31        0.00        0.00        0.967       10.4495        1.09       -0.46        0.3        0.0        0.000        0.00        0.00        1.06        0.37        0.4        1.20        2.57       -1.28        1.81
1.932409        0.00490        0.900        0.00441        0.00499        0.900        0.900        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        5.68        0.07        1.00        0.063        0.013        8.00        1.79        9.00        3.75         3        2.70        3.04        3.12        0.00        0.00        0.957        6.8913        1.10       -0.27        0.2        0.0        0.000        0.00        0.00        1.07        0.35        0.3        1.15        2.07       -0.64        1.58
1.932409        0.00500        0.800        0.00459        0.00521        0.800        0.800        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        4.94        0.07        1.00        0.056        0.012        7.00        1.72        8.00        4.29         3        2.74        3.05        3.25        0.00        0.00        0.962        6.1569        1.11       -0.25        0.2        0.0        0.000        0.00        0.00        1.07        0.37        0.4        1.17        1.62       -0.59        1.46
1.932409        0.00500        0.900        0.00495        0.00518        0.900        0.900        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        5.67        0.07        1.00        0.063        0.013        8.00        1.82        9.00        3.75         3        2.71        3.03        3.11        0.00        0.00        0.957        6.8688        1.10       -0.27        0.2        0.0        0.000        0.00        0.00        1.07        0.35        0.3        1.16        2.06       -0.73        1.58
1.932409        0.00510        0.900        0.00507        0.00583        0.900        0.900        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        5.60        0.07        1.00        0.064        0.014        8.00        1.88        9.00        3.75         3        2.74        3.02        3.12        0.00        0.00        0.957        6.7900        1.10       -0.27        0.3        0.0        0.000        0.00        0.00        1.07        0.35        0.4        1.18        1.93       -0.91        1.56
1.932409        0.01470        0.800        0.01467        0.01526        0.800        0.800        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        2.88        0.12        1.00        0.097        0.019        7.00        1.53        8.00        4.29         2        2.52        2.89        3.32        0.00        0.00        0.961        3.5734        1.11       -0.01        0.2        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.21        0.94       -0.33        1.24
1.932409        0.01470        0.900        0.01470        0.01568        0.900        0.900        0.10        1.0        1.0        1.0        2.0       -2.0       -2.0       -2.0       -2.0        3.29        0.12        1.00        0.109        0.022        8.00        1.59        9.00        3.75         2        2.50        2.89        3.18        0.00        0.00        0.956        3.9935        1.10       -0.01        0.2        0.0        0.000        0.00        0.00        1.07        0.36        0.4        1.19        1.19       -0.35        1.31
