xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.406891        0.02110        1.699        0.02086        0.02429        1.685        1.712        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        5.40        0.15        0.98        0.246        0.050       15.98        3.77       16.98        1.88         2        2.62        2.90        3.64        6.13        1.12        0.904        1.5610        1.85        2.19        1.5        0.2        0.087        1.43        0.88        1.44        0.93        0.9        0.38        1.13       -1.23        1.31
0.369139        0.02130        1.745        0.02044        0.02330        1.580        1.769        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        5.53        0.15        0.98        0.255        0.052       16.45        3.96       17.45        1.82         2        2.63        2.90        3.70        6.35        1.12        0.901        1.4495        1.95        2.38        1.7        0.3        0.122        1.47        0.93        1.49        1.02        1.0        0.41        1.12       -1.28        1.31
0.334889        0.02180        1.837        0.02026        0.02404        1.764        1.910        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        5.77        0.15        0.98        0.271        0.055       17.37        4.02       18.37        1.73         2        2.64        2.91        3.61        6.52        1.12        0.896        1.3618        2.05        2.58        2.0        0.4        0.157        1.51        0.98        1.55        1.12        1.1        0.43        1.19       -1.37        1.33
0.275628        0.02250        1.962        0.02197        0.02263        1.944        2.236        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        6.08        0.15        0.98        0.295        0.059       18.62        4.25       19.62        1.61         2        2.66        2.91        3.64        7.20        1.12        0.889        1.1748        2.30        3.06        2.5        1.2        0.309        1.61        1.16        1.73        1.55        1.5        0.45        1.20       -1.48        1.34
0.226854        0.02320        2.027        0.02323        0.02494        1.975        2.183        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        6.19        0.15        0.98        0.309        0.062       19.27        4.54       20.27        1.56         2        2.69        2.92        3.66        7.29        1.11        0.886        0.9861        2.61        3.63        3.3        0.6        0.228        1.71        1.25        1.89        1.72        1.7        0.48        1.18       -1.58        1.34
0.205805        0.02350        2.053        0.02347        0.02649        2.002        2.410        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        6.24        0.15        0.98        0.315        0.064       19.53        4.64       20.53        1.54         2        2.70        2.92        3.69        8.04        1.11        0.884        0.9026        2.79        3.95        3.6        1.8        0.401        1.78        1.43        2.10        2.49        2.5        0.49        1.15       -1.62        1.33
0.205805        0.00100        2.583        0.00094        0.00104        2.401        2.765        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0       39.19        0.03        0.99        0.081        0.021       24.83       24.65       25.83        1.21         6        3.01        3.19        3.20        3.70        1.09        0.867        5.5777        2.73        2.57        4.1        0.2        0.090        1.76        0.65    10688.59   788314.30  5816382.0        0.43        6.65      -10.07        3.05
0.186710        0.00100        2.664        0.00092        0.00102        2.336        2.665        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0       40.05        0.03        0.99        0.084        0.022       25.64       39.10       26.64        1.17         6        3.03        3.20        3.22        3.76        1.09        0.863        5.1636        2.93        2.91        4.6        0.1        0.063        1.84        0.69    10717.70   532375.30  3805601.0        0.43        6.41      -10.39        2.99
0.153670        0.00110        3.123        0.00098        0.00116        2.804        3.169        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0       45.52        0.03        0.99        0.102        0.027       30.23       16.14       31.23        0.99         6        3.01        3.18        3.19        3.69        1.11        0.842        4.6526        3.23        3.38        5.2        0.2        0.090        1.95        0.72     7476.59   169062.40  1101322.0        0.38        7.68      -10.79        3.37
0.153670        0.23550        2.322        0.23388        0.25469        2.275        2.462        0.10        1.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.14        0.49        0.93        1.127        0.194       22.22        6.64       23.22        1.35         1        2.45        2.74        3.76       11.35        1.19        0.830        0.2800        3.02        7.02        3.4        0.3        0.114        1.91        2.17        1.93        2.34        2.4        0.31        1.02       -0.55        1.25
