xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.303817        0.03050        1.998        0.03030        0.03135        1.895        2.307        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.29        0.17        0.97        0.349        0.055       18.98        2.95       19.98        1.58         2        2.72        2.94        3.79        7.32        1.13        0.882        1.0514        2.05        3.48        1.9        0.6        0.190        1.53        1.12        1.54        1.17        1.2        0.33        1.12       -1.03        1.31
0.250054        0.03180        2.132        0.02905        0.03197        2.077        2.514        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.54        0.18        0.97        0.380        0.059       20.32        3.22       21.32        1.48         2        2.75        2.94        3.82        7.72        1.14        0.875        0.9004        2.30        3.97        2.4        0.6        0.216        1.62        1.25        1.66        1.43        1.4        0.36        1.14       -1.12        1.33
0.226854        0.03260        2.203        0.02831        0.03344        2.041        2.257        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.66        0.18        0.97        0.398        0.062       21.03        3.22       22.03        1.43         2        2.76        2.94        3.87        7.92        1.15        0.871        0.8320        2.44        4.25        2.6        0.7        0.231        1.67        1.32        1.73        1.56        1.6        0.37        1.14       -1.15        1.33
0.205805        0.03330        2.268        0.02897        0.03333        2.038        2.344        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.77        0.18        0.97        0.414        0.064       21.68        3.22       22.68        1.38         2        2.77        2.95        3.89        8.29        1.15        0.868        0.7666        2.59        4.56        2.9        1.0        0.296        1.73        1.44        1.82        1.81        1.8        0.37        1.15       -1.18        1.33
0.205805        0.03330        2.266        0.03210        0.03418        2.104        2.320        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        5.77        0.18        0.97        0.413        0.064       21.66        3.22       22.66        1.39         2        2.77        2.95        3.87        8.30        1.15        0.868        0.7664        2.59        4.56        2.9        1.0        0.297        1.73        1.44        1.82        1.82        1.8        0.37        1.15       -1.18        1.34
0.153670        0.03570        2.475        0.03461        0.03645        2.377        2.770        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        6.09        0.19        0.97        0.468        0.071       23.75        3.32       24.75        1.26         2        2.81        2.96        3.96        8.55        1.16        0.856        0.5963        3.15        5.63        4.0        0.6        0.235        1.91        1.63        2.09        2.21        2.2        0.38        1.18       -1.27        1.35
0.139412        0.03570        2.440        0.03569        0.04077        2.404        2.549        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0        6.00        0.19        0.97        0.461        0.071       23.40        3.68       24.40        1.28         2        2.83        2.96        3.94        9.12        1.14        0.858        0.5382        3.42        6.08        4.7        1.1        0.345        1.99        1.82        2.30        2.88        2.9        0.40        1.13       -1.30        1.34
0.104096        0.00060        3.315        0.00055        0.00056        3.050        3.580        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       67.29        0.02        0.99        0.078        0.021       32.15      265.65       33.15        0.93         8        3.18        3.30        3.45        3.80        1.11        0.834        4.6923        4.35        5.26        7.7        0.1        0.073        2.28        0.87    10273.59    20671.37    20671.4        0.39        9.12      -16.30        3.96
0.094438        0.00090        3.716        0.00083        0.00088        3.548        3.884        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       60.17        0.03        0.99        0.110        0.029       36.16       -8.80       37.16        0.83         7        3.17        3.29        3.34        3.90        1.13        0.815        3.6729        4.55        5.62        8.2        0.3        0.145        2.36        0.92     6840.20    15123.42    15123.4        0.35        8.49      -13.54        3.74
0.077726        0.00100        4.438        0.00093        0.00102        4.371        4.504        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       67.16        0.03        0.99        0.141        0.038       43.38       25.01       44.38        0.69         7        3.14        3.26        3.29        3.76        1.15        0.784        3.2113        4.70        5.77        8.3        0.0        0.000        2.45        0.92     3431.77     6797.63     6797.6        0.25       10.74      -12.36        4.42
0.077726        0.00100        4.428        0.00097        0.00103        4.378        4.778        0.10        1.0        1.0        1.0        6.0       -2.0       -2.0       -2.0       -2.0       67.07        0.03        0.99        0.141        0.038       43.28       -3.91       44.28        0.69         7        3.15        3.26        3.30        3.77        1.16        0.785        3.2097        4.71        5.79        8.3        0.4        0.178        2.42        0.91     3892.79     7885.72     7885.7        0.25       10.70      -12.39        4.41
