xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.526418        9.87990        0.082        8.997752       10.190979        0.082        0.082        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0       -0.00        6.29        0.87        0.515        0.466       -0.18        2.05        0.82      -41.67         0        2.01        3.37        3.39        0.00        0.00        0.87        0.4553        1.10       -0.69       -0.2        0.0        0.000        0.00        0.00        1.38        0.88        0.9        1.39        0.67        0.05        1.00
1.526418        0.05950        0.327        0.059528        0.068425        0.327        0.327        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        0.92        0.49        0.99        0.160        0.079        2.27        3.24        3.27        3.30         1        2.28        2.84        2.96        0.00        0.00        0.94        4.1142        1.21       -0.48        0.4        0.0        0.000        0.00        0.00        1.13        0.39        0.4        1.24        1.11       -0.73        1.24
1.206793        0.05900        0.327        0.059014        0.067051        0.327        0.327        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        0.92        0.49        0.98        0.159        0.084        2.27        3.31        3.27        3.30         1        2.30        2.88        3.07        0.00        0.00        0.94        3.4586        1.27       -0.35        0.5        0.0        0.000        0.00        0.00        1.16        0.46        0.5        1.87        0.96       -0.88        1.21
1.206793        0.05560        0.327        0.055561        0.060383        0.327        0.327        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        0.95        0.47        0.98        0.154        0.081        2.27        3.34        3.27        3.30         1        2.28        2.97        3.15        0.00        0.00        0.94        3.5366        1.27       -0.35        0.5        0.0        0.000        0.00        0.00        1.14        0.43        0.4        1.83        0.90       -0.79        1.18
0.754312        0.05840        0.408        0.058409        0.066502        0.408        0.408        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.25        0.48        0.98        0.197        0.114        3.08        5.16        4.08        2.44         1        2.32        2.86        3.01        0.00        0.00        0.92        2.9375        1.49        0.03        1.0        0.0        0.000        0.00        0.00        1.27        0.52        0.5        0.08        1.21       -1.41        1.28
0.754312        0.05640        0.408        0.052767        0.059886        0.408        0.408        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.27        0.48        0.98        0.194        0.113        3.08        5.31        4.08        2.44         1        2.31        2.90        3.08        0.00        0.00        0.92        2.9750        1.49        0.03        0.9        0.0        0.000        0.00        0.00        1.27        0.53        0.5        0.08        1.19       -1.31        1.27
0.596362        0.05610        0.490        0.055068        0.058305        0.490        0.490        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.61        0.47        0.98        0.232        0.140        3.90        8.19        4.90        1.92         1        2.31        2.88        2.92        0.00        0.00        0.90        2.8719        1.64        0.29        1.3        0.0        0.000        0.00        0.00        1.35        0.53        0.5        0.38        1.57       -1.78        1.36
0.471487        0.06080        0.490        0.060843        0.066837        0.490        0.490        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.54        0.49        0.98        0.242        0.146        3.90        7.16        4.90        1.92         1        2.35        2.87        3.04        0.00        0.00        0.90        2.2157        1.83        0.62        1.8        0.0        0.000        0.00        0.00        1.42        0.66        0.7        0.50        1.29       -1.84        1.30
0.471487        0.05880        0.490        0.055025        0.060421        0.490        0.490        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.57        0.49        0.98        0.238        0.143        3.90        7.55        4.90        1.92         1        2.34        2.87        3.10        0.00        0.00        0.90        2.2437        1.83        0.62        1.6        0.0        0.000        0.00        0.00        1.42        0.67        0.7        0.50        1.30       -1.78        1.30
0.372759        0.06050        0.490        0.060452        0.068715        0.490        0.490        0.10        2.0        1.0        1.0        5.0        -2.0       -2.0       -2.0       -2.0        1.55        0.49        0.97        0.241        0.146        3.90        7.09        4.90        1.92         1        2.36        2.87        3.24        0.00        0.00        0.90        1.7630        2.06        1.03        2.1        0.0        0.000        0.00        0.00        1.35        0.77        0.8        0.56        1.10       -1.83        1.26
