xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.275628        0.02650        2.020        0.02415        0.02743        1.809        2.090        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        5.76        0.16        0.98        0.329        0.059       19.20        3.73       20.20        1.56         2        2.70        2.92        3.75        7.25        1.13        0.884        1.0743        2.24        3.38        2.3        0.7        0.232        1.59        1.15        1.65        1.37        1.4        0.40        1.16       -1.27        1.33
0.226854        0.02780        2.177        0.02540        0.02885        2.052        2.302        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        6.08        0.17        0.98        0.363        0.064       20.77        3.73       21.77        1.44         2        2.72        2.93        3.77        7.43        1.14        0.876        0.9241        2.52        3.93        2.9        0.5        0.204        1.69        1.26        1.79        1.56        1.6        0.41        1.20       -1.36        1.34
0.226854        0.02750        2.125        0.02746        0.02962        2.058        2.192        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        5.96        0.17        0.98        0.352        0.063       20.25        3.79       21.25        1.48         2        2.72        2.93        3.75        7.41        1.12        0.878        0.9127        2.53        3.94        3.0        0.4        0.167        1.69        1.25        1.78        1.52        1.5        0.42        1.18       -1.37        1.34
0.205805        0.02840        2.248        0.02815        0.03178        2.117        2.378        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        6.22        0.17        0.98        0.379        0.067       21.48        4.06       22.48        1.40         2        2.74        2.93        3.79        7.53        1.14        0.872        0.8535        2.68        4.24        3.2        0.5        0.195        1.75        1.32        1.88        1.70        1.7        0.42        1.21       -1.41        1.35
0.186710        0.02790        2.131        0.02793        0.03035        2.073        2.303        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        5.92        0.17        0.98        0.356        0.064       20.30        4.15       21.30        1.48         2        2.75        2.93        3.81        8.54        1.11        0.878        0.7532        2.90        4.61        3.8        1.6        0.388        1.82        1.55        2.08        2.48        2.5        0.45        1.10       -1.44        1.32
0.186710        0.02880        2.291        0.02811        0.03197        2.001        2.388        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        6.29        0.17        0.97        0.389        0.069       21.91        4.12       22.91        1.37         2        2.75        2.94        3.83        7.83        1.14        0.869        0.7834        2.87        4.58        3.6        0.7        0.252        1.81        1.42        2.02        2.00        2.0        0.43        1.20       -1.44        1.35
0.114742        0.31630        1.966        0.31627        0.35061        1.864        2.190        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.52        0.56        0.92        1.106        0.173       18.66        5.14       19.66        1.61         1        2.57        2.79        4.19       14.77        1.14        0.832        0.1734        3.75        9.25        5.3        0.3        0.128        2.12        3.14        2.16        3.43        3.6        0.34        0.74       -0.48        1.18
0.114742        0.33280        2.353        0.32177        0.34521        2.283        2.506        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.77        0.58        0.91        1.357        0.207       22.53        5.13       23.53        1.33         1        2.55        2.79        3.95       12.96        1.21        0.804        0.1892        3.46        9.29        4.1        0.1        0.035        2.07        2.69        2.08        2.88        2.9        0.26        1.01       -0.45        1.25
0.114742        0.31140        2.203        0.27818        0.31140        2.167        2.573        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.72        0.56        0.91        1.229        0.187       21.03        5.31       22.03        1.43         1        2.53        2.78        4.90       13.58        1.22        0.818        0.1843        3.59        9.16        4.1        0.1        0.044        2.10        2.85        2.11        3.04        3.1        0.29        0.85       -0.46        1.20
0.104096        0.33980        2.385        0.32106        0.36239        2.180        2.453        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.77        0.58        0.90        1.390        0.212       22.85        5.56       23.85        1.31         1        2.57        2.80        3.97       13.69        1.21        0.801        0.1733        3.73        9.83        4.6        0.3        0.121        2.16        2.96        2.19        3.22        3.3        0.26        1.01       -0.47        1.25
0.104096        0.34020        2.389        0.33163        0.38169        2.147        2.445        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.77        0.58        0.90        1.394        0.213       22.89        5.55       23.89        1.31         1        2.57        2.80        3.97       13.48        1.22        0.800        0.1734        3.73        9.83        4.6        0.2        0.089        2.16        2.91        2.18        3.12        3.2        0.26        1.01       -0.46        1.25
0.104096        0.34010        2.390        0.32854        0.34048        2.292        2.642        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.77        0.58        0.90        1.394        0.213       22.90        5.56       23.90        1.31         1        2.57        2.80        3.98       13.64        1.22        0.800        0.1735        3.73        9.83        4.5        0.3        0.116        2.16        2.95        2.19        3.20        3.3        0.26        1.01       -0.46        1.25
0.104096        0.00080        3.724        0.00083        0.00092        3.496        3.953        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0       61.87        0.03        0.99        0.108        0.029       36.24    -1812.93       37.24        0.83         7        3.10        3.24        3.25        3.73        1.13        0.815        4.1397        4.10        4.77        7.2        0.2        0.125        2.24        0.83     5741.59    14124.98    14125.0        0.32        9.73      -13.37        4.07
0.104096        0.00080        3.754        0.00083        0.00089        3.433        4.075        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0       62.25        0.03        0.99        0.109        0.029       36.54       -5.80       37.54        0.82         7        3.10        3.24        3.25        3.71        1.13        0.814        4.1515        4.07        4.72        7.1        0.1        0.056        2.24        0.83     5256.92    12889.40    12889.4        0.32        9.94      -13.27        4.13
0.104096        0.00090        3.884        0.00079        0.00091        3.471        3.943        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0       63.91        0.03        0.99        0.113        0.031       37.84       -3.64       38.84        0.79         7        3.08        3.21        3.22        3.64        1.14        0.808        4.1984        3.93        4.48        6.7        0.0        0.019        2.21        0.80     4082.22    10437.26    10437.3        0.29       10.81      -12.80        4.38
0.104096        0.32870        2.308        0.28381        0.32871        2.258        2.604        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.75        0.57        0.91        1.323        0.202       22.08        5.66       23.08        1.36         1        2.56        2.79        4.39       13.61        1.23        0.808        0.1710        3.80        9.76        4.5        0.1        0.067        2.17        2.96        2.19        3.12        3.2        0.28        0.92       -0.47        1.23
0.094438        0.34780        2.427        0.33110        0.34830        2.412        2.645        0.10        1.0        1.0        1.0        5.0       -2.0       -2.0       -2.0       -2.0        1.78        0.59        0.90        1.431        0.220       23.27        5.66       24.27        1.29         1        2.58        2.80        3.99       14.02        1.22        0.796        0.1589        4.02       10.40        5.1        0.3        0.152        2.25        3.16        2.29        3.39        3.6        0.26        1.02       -0.47        1.26
