xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.126486        0.13970        2.926        0.139635        0.159323        2.684        3.169        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        3.84        0.37        0.99        1.094        0.269       96.55      -74.86       97.55        1.04         1        2.41        2.67        3.64       25.44        0.00        0.95        0.3494        4.66        5.95        7.1        2.7        0.531        2.22        1.69        2.99        4.49        4.5        0.80        1.35       -1.28        1.10
0.086851        0.15050        3.224        0.146040        0.153708        3.174        3.275        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        4.08        0.39        0.99        1.251        0.315      106.48      -36.74      107.48        0.94         1        2.46        2.69        3.59       23.97        0.00        0.94        0.2505        6.31        9.04       10.3        1.3        0.428        2.57        1.85        4.21        6.21        6.2        0.79        1.49       -1.34        1.12
0.040949        0.16690        3.745        0.166346        0.189007        3.650        3.840        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        4.49        0.41        0.99        1.530        0.404      123.83      -18.06      124.83        0.81         1        2.55        2.72        3.58       24.78        0.00        0.93        0.1250       12.21       19.94       21.9        2.0        0.572        3.59        2.67       31.92      428.08     2618.2        0.76        1.74       -1.42        1.14
0.040949        0.16690        3.742        0.158229        0.182257        3.684        3.801        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        4.49        0.41        0.99        1.529        0.403      123.75      -18.10      124.75        0.81         1        2.55        2.72        3.58       24.99        0.00        0.93        0.1249       12.21       19.94       21.9        2.2        0.593        3.60        2.70       33.77      496.96     3314.7        0.76        1.74       -1.42        1.14
0.028118        0.17190        3.980        0.154387        0.176530        3.589        4.111        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        4.70        0.41        0.99        1.651        0.447      131.68      -14.44      132.68        0.76         1        2.59        2.73        3.58       26.11        0.00        0.93        0.0878       17.29       29.27       31.8        5.7        0.768        4.31        3.38      157.72     6235.14   168806.4        0.75        1.85       -1.45        1.15
0.023300        0.17050        4.222        0.165964        0.181742        3.944        4.499        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        5.01        0.41        0.99        1.743        0.484      139.72      -12.62      140.72        0.72         1        2.59        2.73        3.50       22.98        0.00        0.92        0.0752       20.58       35.21       38.4        1.5        0.533        4.67        3.22      165.12     3947.29    93627.0        0.74        2.02       -1.49        1.16
0.019307        0.17280        4.285        0.155101        0.177240        3.899        4.414        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        5.05        0.42        0.99        1.781        0.500      141.84      -12.04      142.84        0.71         1        2.61        2.74        3.54       24.87        0.00        0.92        0.0626       24.63       42.64       46.2        5.8        0.788        5.16        3.85      455.11    18107.13   843354.6        0.74        2.02       -1.50        1.16
0.015999        4.64010        1.230        4.237818        4.697516        1.198        1.455        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.25        2.15        0.90        2.650        1.646       40.00      -50.65       41.00        2.50         0        1.64        1.94        2.94       88.48        0.00        0.89        0.0066       28.45       47.64       51.7        0.3        0.222        5.71       15.19        5.83       16.35       18.5        0.64        1.28       -0.18        1.04
0.013257        0.16720        4.662        0.156306        0.173370        4.376        4.948        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        5.58        0.41        0.99        1.907        0.558      154.40       -9.57      155.40        0.65         1        2.63        2.74        3.45       22.46        0.00        0.92        0.0454       35.24       61.81       67.2        3.4        0.720        6.17        4.16     1017.89    28748.79  1736352.0        0.72        2.27       -1.58        1.18
0.013257        0.16210        4.775        0.140135        0.162678        4.454        5.097        0.03        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        5.81        0.40        0.99        1.922        0.571      158.18       -9.22      159.18        0.63         1        2.61        2.73        3.41       20.47        0.00        0.92        0.0464       35.17       61.56       67.0        1.0        0.462        6.12        3.76      627.71    10367.38   451508.8        0.72        2.38       -1.61        1.19
