xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.007823        0.27720        5.419        0.270193        0.286112        4.999        5.839        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.10        0.53        0.99        2.853        2.839      540.90     -115.22      541.90        0.55         0        0.67        0.96        1.30       63.13        1.02        0.97        0.0205       64.05      120.71      125.5        1.5        0.560        8.04        5.08     1105.73    17522.11   886229.0        0.94        2.27       -1.30        1.01
0.007823        0.23390        5.641        0.225684        0.240355        5.549        5.733        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.78        0.48        0.99        2.728        2.786      563.10     -107.95      564.10        0.53         0        0.65        0.94        1.23       59.20        1.03        0.97        0.0236       64.12      120.83      125.6        4.4        0.779        8.12        4.81     2320.74    33914.46  2470844.0        0.94        2.43       -1.50        1.01
0.007823        0.25800        5.500        0.236604        0.257997        5.230        5.771        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.36        0.51        0.99        2.794        2.810      549.05     -112.24      550.05        0.55         0        0.66        0.96        1.50       61.17        1.03        0.97        0.0218       64.08      120.78      125.2        2.1        0.641        8.07        4.94     1473.29    21966.72  1283697.0        0.94        2.34       -1.38        1.01
0.007823        0.28250        5.390        0.268756        0.287927        5.123        5.658        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.02        0.53        0.99        2.865        2.843      538.05     -116.48      539.05        0.56         0        0.67        0.97        1.31       63.66        1.03        0.97        0.0202       64.04      120.71      125.3        1.3        0.532        8.04        5.12     1007.19    16062.63   764923.7        0.94        2.25       -1.28        1.01
0.007823        0.59140        4.179        0.558013        0.631671        4.096        4.261        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.68        0.77        0.99        3.213        2.819      416.85     -159.89      417.85        0.72         0        0.81        1.10        1.77        1.71        1.03        0.97        0.0106       63.68      120.17      124.1      124.1        0.003        1.03        0.02      154.33     5739.04    82754.4        0.93        1.63       -0.67        1.01
0.007823        0.55100        4.308        0.490204        0.567276        4.120        4.496        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.86        0.74        0.99        3.198        2.840      429.80     -154.94      430.80        0.70         0        0.79        1.08        1.72        1.22        1.03        0.97        0.0113       63.72      120.23      124.1      125.6        0.001        1.02        0.01      161.32     4943.49    71864.1        0.93        1.68       -0.71        1.01
0.006391        0.37790        5.064        0.377890        0.404712        4.743        5.384        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.07        0.61        0.99        3.113        2.954      505.35     -131.12      506.35        0.59         0        0.71        0.99        1.40       78.92        1.02        0.96        0.0129       77.98      147.56      153.6        1.4        0.551        8.87        7.01      885.96    25115.13  1111322.0        0.93        2.00       -1.00        1.01
0.006391        0.30800        5.425        0.307995        0.329856        5.082        5.768        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.84        0.55        0.99        3.011        2.956      541.50     -122.15      542.50        0.55         0        0.67        0.95        1.28       69.92        1.02        0.96        0.0154       78.09      147.68      154.4        2.7        0.698        8.93        6.25     1889.87    45650.31  3008689.0        0.94        2.18       -1.19        1.01
0.006391        0.32680        5.287        0.326820        0.378762        5.089        5.485        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.57        0.57        0.99        3.022        2.936      527.70     -123.14      528.70        0.57         0        0.69        0.97        1.33       72.16        1.02        0.96        0.0146       78.06      147.70      153.9        2.1        0.643        8.91        6.43     1496.19    37650.94  2214026.0        0.94        2.13       -1.13        1.01
0.006391        0.37190        5.132        0.371919        0.404536        4.910        5.354        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.16        0.61        0.99        3.130        2.980      512.20     -131.49      513.20        0.59         0        0.70        0.98        1.37       77.93        1.02        0.96        0.0131       77.97      147.49      154.0        1.4        0.552        8.88        6.92      924.53    25396.10  1156334.0        0.93        2.02       -1.01        1.01
