xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.186710        0.04640        2.011        0.04635        0.05092        1.825        2.186        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        4.26        0.22        0.96        0.433        0.050       19.11        2.34       20.11        1.57         2        2.82        2.96        4.99       10.06        1.17        0.869        0.5020        2.57        5.74        2.6        0.2        0.104        1.72        1.73        1.73        1.80        1.8        0.31        0.70       -0.74        1.18
0.126477        0.05060        2.205        0.05055        0.05563        2.100        2.519        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        4.48        0.22        0.96        0.496        0.055       21.05        2.51       22.05        1.43         2        2.88        2.96        4.83       11.14        1.18        0.858        0.3522        3.36        7.28        4.0        0.4        0.168        1.97        2.20        2.01        2.47        2.5        0.33        0.74       -0.80        1.20
0.126477        0.00090        3.501        0.00082        0.00092        3.399        3.602        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       55.23        0.03        0.98        0.106        0.025       34.01       -8.07       35.01        0.88         7        3.16        3.29        3.32        3.80        1.12        0.823        4.4291        3.51        4.25        5.8        0.3        0.136        2.05        0.78     5583.26    44532.75    59147.1        0.32        8.62      -11.58        3.77
0.104096        0.56750        1.213        0.56750        0.63170        1.172        1.223        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        0.64        0.75        0.86        0.914        0.141       11.13        3.98       12.13        2.69         1        2.73        2.90        4.73       18.40        1.17        0.813        0.1242        3.75       12.33        5.0        0.1        0.054        2.13        3.94        2.16        4.72        4.8        0.28        0.59       -0.34        1.13
0.104096        0.00060        3.512        0.00058        0.00066        3.446        3.578        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       66.69        0.03        0.99        0.088        0.022       34.12       27.26       35.12        0.88         8        3.22        3.34        3.38        3.86        1.11        0.824        4.5042        4.18        5.22        7.6        0.1        0.080        2.26        0.87     8585.52    19406.46    19406.5        0.35        9.19      -14.95        4.01
0.094438        0.00050        3.592        0.00043        0.00047        3.390        3.605        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       80.00        0.02        0.99        0.077        0.020       34.92       -4.57       35.92        0.86         9        3.24        3.33        3.37        3.80        1.12        0.821        4.9258        4.46        5.55        8.1        0.8        0.303        2.31        0.88    14321.84    26106.93    26106.9        0.34       11.21      -17.70        4.68
0.085676        0.73080        1.613        0.70736        0.78234        1.582        1.626        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0        0.72        0.85        0.81        1.379        0.201       15.13        3.77       16.13        1.98         1        2.80        2.95        4.42       18.92        1.28        0.753        0.1149        3.76       14.63        4.3        0.3        0.087        2.20        4.20        2.27        5.47        5.5        0.18        0.90       -0.31        1.22
0.085676        0.00070        4.005        0.00065        0.00073        3.986        4.023        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       72.18        0.03        0.98        0.107        0.027       39.05       -5.37       40.05        0.77         8        3.24        3.34        3.38        3.86        1.13        0.802        3.8866        4.61        5.88        8.4        0.5        0.218        2.38        0.92     7292.98    14253.14    14253.1        0.29       10.25      -14.63        4.37
0.085676        0.00070        3.990        0.00066        0.00073        3.660        4.319        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       72.05        0.03        0.98        0.106        0.027       38.90       -5.75       39.90        0.77         8        3.24        3.35        3.38        3.87        1.14        0.803        3.8851        4.63        5.91        8.4        0.6        0.239        2.39        0.92     7557.02    14759.07    14759.1        0.30       10.21      -14.68        4.36
0.077726        0.00050        4.247        0.00052        0.00056        4.132        4.361        0.10        1.0        1.0        1.0        9.0       -2.0       -2.0       -2.0       -2.0       88.72        0.02        0.99        0.098        0.026       41.47       -2.58       42.47        0.72         9        3.23        3.31        3.34        3.72        1.15        0.792        4.3124        4.69        5.85        8.4        0.5        0.221        2.41        0.90     8892.99    14917.23    14917.2        0.25       13.58      -16.57        5.43
