xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
2.130040        0.01340        0.800        0.01340        0.01558        0.800        0.800        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.02        0.12        1.00        0.093        0.020        7.00        1.66        8.00        4.29         2        2.52        2.90        3.16        0.00        0.00        0.962        4.1351        1.10       -0.35        0.2        0.0        0.000        0.00        0.00        1.07        0.36        0.4        1.13        1.07       -0.46        1.29
2.130040        0.01320        0.700        0.01322        0.01397        0.700        0.700        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        2.60        0.11        1.00        0.080        0.017        6.00        1.47        7.00        5.00         2        2.53        2.89        3.32        0.00        0.00        0.968        3.6163        1.10       -0.35        0.2        0.0        0.000        0.00        0.00        1.07        0.39        0.4        1.16        0.83       -0.36        1.22
2.130040        0.00460        0.800        0.00451        0.00474        0.800        0.800        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        5.17        0.07        1.00        0.054        0.012        7.00        1.71        8.00        4.29         3        2.70        3.04        3.14        0.00        0.00        0.963        6.9333        1.09       -0.49        0.1        0.0        0.000        0.00        0.00        1.06        0.35        0.3        1.09        1.86       -0.50        1.52
2.130040        0.00230        0.600        0.00225        0.00249        0.600        0.600        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        5.26        0.05        1.00        0.028        0.006        5.00        1.32        6.00        6.00         4        2.97        3.16        3.43        0.00        0.00        0.973        7.2309        1.08       -0.55        0.2        0.0        0.000        0.00        0.00        1.05        0.38        0.4        1.20        1.44       -0.72        1.45
2.130040        0.01320        0.900        0.01321        0.01489        0.900        0.900        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.47        0.11        1.00        0.103        0.022        8.00        1.76        9.00        3.75         2        2.49        2.88        3.02        0.00        0.00        0.957        4.6657        1.09       -0.36        0.2        0.0        0.000        0.00        0.00        1.07        0.34        0.3        1.10        1.36       -0.49        1.36
1.932409        0.00450        0.900        0.00414        0.00454        0.900        0.900        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        5.96        0.07        1.00        0.060        0.014        8.00        2.02        9.00        3.75         3        2.66        3.02        3.05        0.00        0.00        0.957        7.4350        1.10       -0.46        0.2        0.0        0.000        0.00        0.00        1.07        0.34        0.3        1.12        2.29       -0.68        1.63
1.932409        0.00080        0.600        0.00076        0.00078        0.600        0.600        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        8.94        0.03        1.00        0.017        0.004        5.00        1.48        6.00        6.00         6        3.14        3.31        3.43        0.00        0.00        0.972       11.5776        1.09       -0.58        0.2        0.0        0.000        0.00        0.00        1.06        0.38        0.4        1.23        2.54       -1.35        1.84
1.932409        0.00120        0.600        0.00124        0.00138        0.600        0.600        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        7.05        0.04        1.00        0.021        0.005        5.00        1.54        6.00        6.00         5        3.07        3.24        3.46        0.00        0.00        0.972        9.2267        1.10       -0.55        0.2        0.0        0.000        0.00        0.00        1.06        0.38        0.4        1.24        1.94       -0.91        1.62
1.932409        0.00120        0.700        0.00115        0.00125        0.700        0.700        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        8.52        0.04        1.00        0.025        0.006        6.00        1.93        7.00        5.00         5        3.00        3.23        3.27        0.00        0.00        0.967       10.8383        1.10       -0.56        0.3        0.0        0.000        0.00        0.00        1.06        0.36        0.4        1.19        2.73       -1.31        1.86
1.932409        0.00220        0.600        0.00221        0.00245        0.600        0.600        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        5.30        0.05        1.00        0.028        0.006        5.00        1.41        6.00        6.00         4        2.94        3.15        3.48        0.00        0.00        0.972        6.9914        1.11       -0.51        0.2        0.0        0.000        0.00        0.00        1.07        0.39        0.4        1.25        1.39       -0.68        1.42
