xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.086851        1.03310        2.423        1.033143        1.083753        2.186        2.502        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.13        1.02        0.96        2.463        1.910       79.77     -157.09       80.77        1.25         0        0.91        1.45        1.85       46.28        0.00        0.92        0.0668        6.36        8.92       10.6        0.2        0.112        2.63        3.65        2.66        4.00        4.1        0.78        1.20       -0.36        1.02
0.086851        1.00370        2.355        0.875177        1.039727        2.267        2.549        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.12        1.00        0.96        2.360        1.824       77.50     -147.06       78.50        1.29         0        0.94        1.49        1.98       45.22        0.00        0.93        0.0680        6.38        8.99       10.3        0.1        0.090        2.63        3.57        2.65        3.83        4.0        0.79        1.19       -0.37        1.02
0.071969        0.97610        2.444        0.891176        0.978846        2.387        2.501        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.17        0.99        0.96        2.415        1.879       80.47     -127.67       81.47        1.24         0        0.93        1.47        1.99       46.44        0.00        0.93        0.0582        7.50       11.04       12.4        0.2        0.125        2.85        3.98        2.88        4.20        4.5        0.79        1.21       -0.38        1.02
0.019307        0.78880        3.133        0.787330        0.879892        3.072        3.193        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.68        0.89        0.96        2.782        2.276      103.42      -72.86      104.42        0.97         0        0.88        1.31        1.88       48.44        0.00        0.91        0.0197       25.32       43.48       47.0        0.8        0.397        5.21        7.58        6.73       16.13       16.7        0.78        1.38       -0.49        1.03
0.013257        0.74610        3.367        0.746084        0.777453        2.985        3.494        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.85        0.86        0.96        2.908        2.413      111.22      -67.49      112.22        0.90         0        0.86        1.26        1.77       49.69        0.00        0.91        0.0143       36.40       63.47       69.7        2.1        0.626        6.30        9.41       13.87       73.02       97.8        0.78        1.43       -0.51        1.02
0.009103        0.65350        3.652        0.598904        0.668809        3.575        3.730        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.15        0.81        0.96        2.953        2.511      120.75      -59.24      121.75        0.83         0        0.84        1.21        1.78       42.90        0.00        0.91        0.0112       52.71       92.91      100.3        1.3        0.521        7.54        9.71       40.54      494.19     1598.2        0.78        1.52       -0.59        1.03
0.007543        0.60890        3.825        0.589079        0.663553        3.565        4.085        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.34        0.78        0.96        2.985        2.574      126.50      -56.44      127.50        0.79         0        0.82        1.18        1.74       40.42        0.00        0.91        0.0099       63.47      112.25      121.1        1.4        0.548        8.28       10.05      103.17     2712.37    24016.4        0.78        1.57       -0.63        1.03
0.007543        0.26450        5.101        0.253630        0.303416        4.697        5.505        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.82        0.51        0.98        2.624        2.603      169.03      -38.04      170.03        0.59         0        0.67        1.03        1.24       20.60        0.00        0.90        0.0206       64.66      113.90      125.8        1.3        0.519        8.37        5.18     1317.77    18284.18   963545.4        0.81        2.30       -1.33        1.03
0.006251        0.31310        4.944        0.313084        0.357761        4.634        5.254        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.28        0.56        0.97        2.766        2.675      163.80      -40.26      164.80        0.61         0        0.70        1.03        1.32       23.30        0.00        0.90        0.0148       77.51      136.99      151.0        1.4        0.545        9.17        6.41     1515.88    32425.25  1837729.0        0.80        2.14       -1.15        1.03
0.006251        0.26880        5.144        0.250184        0.269105        4.875        5.413        0.03        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.81        0.52        0.98        2.667        2.642      170.47      -37.81      171.47        0.59         0        0.68        1.04        1.26       21.71        0.00        0.90        0.0169       77.76      137.37      151.4        3.1        0.722        9.24        6.02     2710.52    49682.00  3663336.0        0.81        2.28       -1.32        1.03
