xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.406891        0.01800        1.625        0.01804        0.01931        1.544        1.706        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        5.58        0.13        0.98        0.218        0.049       15.25        4.37       16.25        1.97         2        2.59        2.89        3.52        6.04        1.10        0.909        1.6713        1.89        1.86        1.7        0.3        0.127        1.44        0.87        1.47        0.96        1.0        0.44        1.17       -1.42        1.32
0.406891        0.01810        1.645        0.01729        0.01825        1.548        1.742        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        5.65        0.13        0.98        0.221        0.050       15.45        4.41       16.45        1.94         2        2.59        2.89        3.53        6.09        1.11        0.908        1.6862        1.89        1.86        1.7        0.5        0.165        1.44        0.88        1.47        0.98        1.0        0.44        1.17       -1.41        1.32
0.369139        0.01830        1.706        0.01824        0.01956        1.665        1.746        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        5.83        0.14        0.98        0.231        0.052       16.05        4.63       17.05        1.87         2        2.60        2.89        3.55        6.35        1.11        0.905        1.5748        1.99        2.05        1.9        0.7        0.225        1.48        0.94        1.54        1.12        1.1        0.46        1.18       -1.48        1.32
0.334889        0.01860        1.766        0.01742        0.02060        1.699        1.834        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        6.01        0.14        0.98        0.241        0.055       16.66        4.83       17.66        1.80         2        2.61        2.89        3.56        6.73        1.11        0.902        1.4683        2.10        2.25        2.1        1.2        0.298        1.53        1.03        1.61        1.33        1.3        0.48        1.19       -1.55        1.33
0.303817        0.01900        1.859        0.01764        0.01909        1.793        2.057        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        6.27        0.14        0.98        0.256        0.058       17.59        4.98       18.59        1.71         2        2.62        2.90        3.55        6.45        1.12        0.897        1.3812        2.22        2.48        2.4        0.5        0.192        1.57        1.01        1.68        1.28        1.3        0.48        1.24       -1.63        1.34
0.275628        0.01920        1.907        0.01845        0.02047        1.867        1.947        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        6.40        0.14        0.98        0.264        0.060       18.07        5.19       19.07        1.66         2        2.63        2.90        3.61        6.80        1.12        0.894        1.2776        2.35        2.73        2.6        0.9        0.280        1.62        1.10        1.80        1.57        1.6        0.50        1.22       -1.68        1.34
0.250054        0.01970        2.006        0.01898        0.02071        1.837        2.175        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        6.67        0.14        0.98        0.281        0.064       19.06        5.28       20.06        1.57         2        2.64        2.90        3.58        6.64        1.12        0.889        1.1987        2.49        2.99        3.0        0.5        0.201        1.67        1.11        1.90        1.61        1.6        0.50        1.28       -1.76        1.36
0.250054        0.01980        2.023        0.01772        0.01987        1.938        2.279        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        6.72        0.14        0.98        0.284        0.064       19.23        5.26       20.23        1.56         2        2.64        2.90        3.55        6.63        1.12        0.889        1.2049        2.49        2.99        3.0        0.5        0.206        1.67        1.11        1.90        1.62        1.6        0.50        1.30       -1.77        1.37
0.226854        0.15850        2.175        0.15802        0.17489        2.136        2.290        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        2.49        0.40        0.95        0.866        0.177       20.75        8.12       21.75        1.45         1        2.33        2.69        3.55        9.17        1.16        0.857        0.4618        2.48        4.70        2.5        0.2        0.094        1.71        1.56        1.72        1.65        1.7        0.37        1.04       -0.64        1.25
0.205805        0.16210        2.226        0.16002        0.17333        2.105        2.381        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0        2.52        0.40        0.95        0.896        0.183       21.26        8.48       22.26        1.41         1        2.34        2.69        3.55        9.43        1.16        0.853        0.4250        2.65        5.02        2.8        0.2        0.110        1.77        1.67        1.78        1.74        1.8        0.38        1.06       -0.67        1.25
0.186710        0.00160        2.694        0.00143        0.00163        2.520        2.719        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0       32.13        0.04        0.99        0.107        0.029       25.94        9.38       26.94        1.16         5        2.97        3.16        3.21        3.87        1.10        0.862        4.1499        2.96        2.94        4.6        0.2        0.088        1.84        0.71     4043.31   249999.80  2387979.0        0.45        5.19       -8.48        2.59
0.186710        0.00100        2.644        0.00091        0.00099        2.392        2.728        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0       40.66        0.03        0.99        0.082        0.022       25.44       29.03       26.44        1.18         6        3.01        3.19        3.20        3.72        1.09        0.865        5.2803        2.94        2.83        4.6        0.1        0.035        1.84        0.69    12371.40   578028.90  4013656.0        0.44        6.59      -10.69        3.03
0.186710        0.00160        2.686        0.00155        0.00163        2.617        2.755        0.10        1.0        1.0        1.0        3.0       -2.0       -2.0       -2.0       -2.0       32.05        0.04        0.99        0.107        0.029       25.86        7.86       26.86        1.16         5        2.97        3.16        3.21        3.88        1.10        0.862        4.1423        2.97        2.95        4.6        0.2        0.112        1.84        0.72     4191.77   265003.30  2523020.0        0.45        5.17       -8.48        2.58
