x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        1.00002        1.00003        1.00001        0.82334        0.97353       -0.00082        0.02716       -0.04603        1.00002        0.99990
0.010163        1.00002        1.00003        1.00001        0.82334        0.97353       -0.00084        0.02760       -0.04678        1.00002        0.99990
0.010328        1.00001        1.00002        1.00001        0.82334        0.97353       -0.00085        0.02805       -0.04754        1.00002        0.99989
0.010496        1.00000        1.00002        1.00002        0.82334        0.97353       -0.00086        0.02851       -0.04832        1.00002        0.99989
0.010667        0.99999        1.00001        1.00002        0.82334        0.97353       -0.00088        0.02897       -0.04910        1.00002        0.99988
0.010840        0.99998        1.00000        1.00002        0.82335        0.97353       -0.00089        0.02944       -0.04990        1.00002        0.99988
0.011016        0.99998        0.99999        1.00002        0.82335        0.97353       -0.00091        0.02992       -0.05071        1.00002        0.99987
0.011196        0.99997        0.99999        1.00002        0.82335        0.97353       -0.00092        0.03041       -0.05154        1.00002        0.99986
0.011378        0.99996        0.99998        1.00002        0.82336        0.97353       -0.00094        0.03090       -0.05238        1.00002        0.99986
0.011563        0.99995        0.99997        1.00002        0.82336        0.97353       -0.00095        0.03141       -0.05323        1.00002        0.99985
0.011751        0.99994        0.99996        1.00002        0.82336        0.97353       -0.00097        0.03192       -0.05409        1.00003        0.99985
0.011942        0.99993        0.99995        1.00002        0.82336        0.97353       -0.00098        0.03244       -0.05497        1.00003        0.99984
0.012136        0.99992        0.99995        1.00002        0.82337        0.97352       -0.00100        0.03296       -0.05587        1.00003        0.99984
0.012334        0.99991        0.99994        1.00002        0.82337        0.97352       -0.00101        0.03350       -0.05678        1.00003        0.99983
0.012534        0.99991        0.99993        1.00002        0.82337        0.97352       -0.00103        0.03405       -0.05770        1.00003        0.99982
0.012738        0.99990        0.99992        1.00002        0.82338        0.97352       -0.00105        0.03460       -0.05864        1.00003        0.99982
0.012945        0.99989        0.99991        1.00003        0.82338        0.97352       -0.00106        0.03516       -0.05959        1.00003        0.99981
0.013156        0.99988        0.99990        1.00003        0.82338        0.97352       -0.00108        0.03573       -0.06056        1.00003        0.99981
0.013370        0.99987        0.99989        1.00003        0.82339        0.97352       -0.00110        0.03632       -0.06155        1.00003        0.99980
0.013587        0.99986        0.99988        1.00003        0.82339        0.97352       -0.00112        0.03691       -0.06255        1.00004        0.99979
0.013808        0.99985        0.99988        1.00003        0.82339        0.97352       -0.00114        0.03751       -0.06356        1.00004        0.99979
0.014033        0.99984        0.99987        1.00003        0.82340        0.97352       -0.00115        0.03812       -0.06460        1.00004        0.99978
0.014261        0.99983        0.99986        1.00003        0.82340        0.97352       -0.00117        0.03874       -0.06565        1.00004        0.99977
0.014493        0.99981        0.99985        1.00003        0.82340        0.97352       -0.00119        0.03937       -0.06672        1.00004        0.99977
0.014729        0.99980        0.99984        1.00003        0.82341        0.97352       -0.00121        0.04001       -0.06780        1.00004        0.99976
0.014968        0.99979        0.99983        1.00003        0.82341        0.97352       -0.00123        0.04066       -0.06890        1.00004        0.99975
0.015212        0.99978        0.99982        1.00003        0.82341        0.97352       -0.00125        0.04132       -0.07002        1.00004        0.99974
0.015459        0.99977        0.99981        1.00004        0.82342        0.97352       -0.00127        0.04199       -0.07116        1.00004        0.99974
0.015711        0.99976        0.99980        1.00004        0.82342        0.97352       -0.00129        0.04267       -0.07232        1.00005        0.99973
0.015966        0.99975        0.99978        1.00004        0.82343        0.97352       -0.00131        0.04337       -0.07350        1.00005        0.99972
0.016226        0.99973        0.99977        1.00004        0.82343        0.97352       -0.00133        0.04407       -0.07469        1.00005        0.99971
0.016490        0.99972        0.99976        1.00004        0.82343        0.97352       -0.00136        0.04479       -0.07591        1.00005        0.99971
0.016758        0.99971        0.99975        1.00004        0.82344        0.97352       -0.00138        0.04552       -0.07714        1.00005        0.99970
0.017031        0.99970        0.99974        1.00004        0.82344        0.97352       -0.00140        0.04626       -0.07840        1.00005        0.99969
0.017308        0.99968        0.99973        1.00004        0.82345        0.97352       -0.00142        0.04701       -0.07967        1.00005        0.99968
0.017589        0.99967        0.99972        1.00004        0.82345        0.97352       -0.00145        0.04778       -0.08097        1.00006        0.99967
0.017875        0.99966        0.99970        1.00005        0.82346        0.97352       -0.00147        0.04856       -0.08228        1.00006        0.99966
0.018166        0.99964        0.99969        1.00005        0.82346        0.97352       -0.00149        0.04934       -0.08362        1.00006        0.99965
0.018461        0.99963        0.99968        1.00005        0.82346        0.97352       -0.00152        0.05015       -0.08498        1.00006        0.99965
0.018762        0.99962        0.99967        1.00005        0.82347        0.97352       -0.00154        0.05096       -0.08636        1.00006        0.99964
0.019067        0.99960        0.99965        1.00005        0.82347        0.97352       -0.00157        0.05179       -0.08777        1.00006        0.99963
0.019377        0.99959        0.99964        1.00005        0.82348        0.97352       -0.00159        0.05263       -0.08920        1.00007        0.99962
0.019692        0.99957        0.99963        1.00005        0.82348        0.97351       -0.00162        0.05349       -0.09065        1.00007        0.99961
0.020012        0.99956        0.99961        1.00005        0.82349        0.97351       -0.00165        0.05436       -0.09212        1.00007        0.99960
0.020338        0.99953        0.99959        1.00006        0.82350        0.97351       -0.00167        0.05525       -0.09362        1.00007        0.99958
0.020669        0.99950        0.99956        1.00006        0.82351        0.97351       -0.00170        0.05615       -0.09514        1.00007        0.99957
0.021005        0.99947        0.99954        1.00006        0.82352        0.97351       -0.00173        0.05706       -0.09669        1.00008        0.99955
