x               rho            P              T            ur           uphi        uz         Br           Bphi        Bz
0.010000        0.99968        0.99969        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010163        0.99967        0.99968        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010328        0.99965        0.99967        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010496        0.99964        0.99965        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010667        0.99962        0.99963        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.010840        0.99960        0.99962        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011016        0.99959        0.99960        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011196        0.99957        0.99958        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011378        0.99955        0.99957        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011563        0.99953        0.99955        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011751        0.99952        0.99953        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011942        0.99950        0.99951        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012136        0.99948        0.99950        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012334        0.99946        0.99948        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012534        0.99944        0.99946        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.012738        0.99942        0.99944        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.012945        0.99940        0.99942        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013156        0.99938        0.99940        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013370        0.99936        0.99938        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013587        0.99934        0.99936        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.013808        0.99932        0.99934        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014033        0.99930        0.99932        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014261        0.99927        0.99930        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014493        0.99925        0.99928        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014729        0.99923        0.99925        1.000        1.000        1.00       -0.0       -0.015       -0.01       -0.0
0.014968        0.99921        0.99923        1.000        1.000        1.00       -0.0       -0.015       -0.01       -0.0
0.015212        0.99918        0.99921        1.000        1.000        1.00       -0.0       -0.015       -0.02       -0.0
0.015459        0.99916        0.99919        1.000        1.000        1.00       -0.0       -0.015       -0.02       -0.0
0.015711        0.99914        0.99916        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.015966        0.99911        0.99914        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.016226        0.99909        0.99912        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.016490        0.99906        0.99909        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.016758        0.99903        0.99907        1.000        1.000        1.00       -0.0       -0.017       -0.02       -0.0
0.017031        0.99901        0.99904        1.000        1.000        1.00       -0.0       -0.017       -0.02       -0.0
0.017308        0.99898        0.99901        1.000        1.000        1.00       -0.0       -0.017       -0.02       -0.0
0.017589        0.99895        0.99899        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.017875        0.99893        0.99896        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.018166        0.99890        0.99893        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.018461        0.99887        0.99891        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.018762        0.99884        0.99888        1.000        1.000        1.00       -0.0       -0.019       -0.02       -0.0
0.019067        0.99881        0.99885        1.000        1.000        1.00       -0.0       -0.019       -0.02       -0.0
0.019377        0.99878        0.99882        1.000        1.000        1.00       -0.0       -0.019       -0.02       -0.0
0.019692        0.99875        0.99879        1.000        1.000        1.00       -0.0       -0.020       -0.02       -0.0
0.020012        0.99872        0.99876        1.000        1.000        1.00       -0.0       -0.020       -0.02       -0.0
0.020338        0.99867        0.99872        1.000        1.000        1.00       -0.0       -0.020       -0.02       -0.0
0.020669        0.99862        0.99867        1.000        1.000        1.00       -0.0       -0.021       -0.02       -0.0
0.021005        0.99857        0.99861        1.000        1.000        1.00       -0.0       -0.021       -0.02       -0.0
0.021347        0.99851        0.99856        1.000        1.000        1.00       -0.0       -0.021       -0.02       -0.0
0.021694        0.99846        0.99851        1.000        1.000        1.00       -0.0       -0.022       -0.02       -0.0
0.022047        0.99840        0.99845        1.000        1.000        1.00       -0.0       -0.022       -0.02       -0.0
0.022405        0.99834        0.99840        1.000        1.000        1.00       -0.0       -0.022       -0.02       -0.0
0.022770        0.99828        0.99834        1.000        0.999        1.00       -0.0       -0.023       -0.02       -0.0
0.023140        0.99823        0.99828        1.000        0.999        1.00       -0.0       -0.023       -0.02       -0.0
0.023516        0.99816        0.99822        1.000        0.999        1.00       -0.0       -0.023       -0.02       -0.0
0.023899        0.99810        0.99817        1.000        0.999        1.00       -0.0       -0.024       -0.02       -0.0
0.024288        0.99804        0.99811        1.000        0.999        1.00       -0.0       -0.024       -0.02       -0.0
0.024683        0.99798        0.99804        1.000        0.999        1.00       -0.0       -0.025       -0.02       -0.0
0.025084        0.99791        0.99798        1.000        0.999        1.00       -0.0       -0.025       -0.03       -0.0
0.025492        0.99785        0.99792        1.000        0.999        1.00       -0.0       -0.025       -0.03       -0.0
0.025907        0.99778        0.99785        1.000        0.999        1.00       -0.0       -0.026       -0.03       -0.0
0.026328        0.99771        0.99779        1.000        0.999        1.00       -0.0       -0.026       -0.03       -0.0
0.026756        0.99765        0.99772        1.000        0.999        1.00       -0.0       -0.027       -0.03       -0.0
0.027192        0.99758        0.99766        1.000        0.999        1.00       -0.0       -0.027       -0.03       -0.0
0.027634        0.99751        0.99759        1.000        0.999        1.00       -0.0       -0.028       -0.03       -0.0
0.028083        0.99743        0.99752        1.000        0.999        1.00       -0.0       -0.028       -0.03       -0.0
0.028540        0.99736        0.99745        1.000        0.999        1.00       -0.0       -0.029       -0.03       -0.0
0.029004        0.99729        0.99737        1.000        0.999        1.00       -0.0       -0.029       -0.03       -0.0
0.029476        0.99721        0.99730        1.000        0.999        1.00       -0.0       -0.029       -0.03       -0.0
0.029955        0.99713        0.99723        1.000        0.999        1.00       -0.0       -0.030       -0.03       -0.0
0.030443        0.99703        0.99713        1.000        0.999        1.00       -0.0       -0.030       -0.03       -0.0
0.030938        0.99692        0.99702        1.000        0.999        1.00       -0.0       -0.031       -0.03       -0.0
0.031441        0.99681        0.99691        1.000        0.999        1.00       -0.0       -0.031       -0.03       -0.0
0.031952        0.99670        0.99680        1.000        0.999        1.00       -0.0       -0.032       -0.03       -0.0
0.032472        0.99658        0.99669        1.000        0.999        1.00       -0.0       -0.032       -0.03       -0.0
0.033000        0.99646        0.99658        1.000        0.999        1.00       -0.0       -0.033       -0.03       -0.0
0.033537        0.99634        0.99646        1.000        0.999        1.00       -0.0       -0.033       -0.03       -0.0
0.034083        0.99622        0.99634        1.000        0.999        1.00       -0.0       -0.034       -0.03       -0.0
0.034637        0.99610        0.99622        1.000        0.999        1.00       -0.0       -0.035       -0.03       -0.0
0.035200        0.99597        0.99610        1.000        0.999        1.00       -0.0       -0.035       -0.04       -0.0
0.035773        0.99584        0.99598        1.000        0.999        1.00       -0.0       -0.036       -0.04       -0.0
0.036355        0.99571        0.99585        1.000        0.999        1.00       -0.0       -0.036       -0.04       -0.0
0.036946        0.99558        0.99572        1.000        0.999        1.00       -0.0       -0.037       -0.04       -0.0
0.037547        0.99544        0.99559        1.000        0.999        1.00       -0.0       -0.037       -0.04       -0.0
0.038158        0.99531        0.99546        1.000        0.999        1.00       -0.0       -0.038       -0.04       -0.0
0.038778        0.99517        0.99533        1.000        0.999        1.00       -0.0       -0.039       -0.04       -0.0
0.039409        0.99503        0.99519        1.000        0.999        1.00       -0.0       -0.039       -0.04       -0.0
0.040050        0.99488        0.99505        1.000        0.998        1.00       -0.0       -0.040       -0.04       -0.0
0.040701        0.99470        0.99487        1.000        0.998        1.00       -0.0       -0.041       -0.04       -0.0
0.041363        0.99451        0.99469        1.000        0.998        1.00       -0.0       -0.041       -0.04       -0.0
0.042036        0.99432        0.99450        1.000        0.998        1.00       -0.0       -0.042       -0.04       -0.0
0.042720        0.99412        0.99431        1.000        0.998        1.00       -0.0       -0.043       -0.04       -0.0
