x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.01000        1.00001        1.00002        1.33931        0.96083       -0.00134        0.04061       -0.06135        1.00003        0.99990
0.010163        0.01016        1.00001        1.00002        1.33932        0.96083       -0.00136        0.04127       -0.06235        1.00003        0.99990
0.010328        0.01033        0.99999        1.00002        1.33933        0.96083       -0.00138        0.04194       -0.06336        1.00003        0.99989
0.010496        0.01050        0.99997        1.00002        1.33934        0.96083       -0.00140        0.04263       -0.06439        1.00003        0.99989
0.010667        0.01067        0.99996        1.00002        1.33936        0.96082       -0.00143        0.04332       -0.06544        1.00003        0.99988
0.010840        0.01084        0.99994        1.00003        1.33937        0.96082       -0.00145        0.04402       -0.06650        1.00003        0.99988
0.011016        0.01102        0.99992        1.00003        1.33939        0.96082       -0.00147        0.04474       -0.06758        1.00003        0.99987
0.011196        0.01120        0.99991        1.00003        1.33940        0.96082       -0.00150        0.04547       -0.06868        1.00003        0.99986
0.011378        0.01138        0.99989        1.00003        1.33942        0.96082       -0.00152        0.04621       -0.06980        1.00004        0.99986
0.011563        0.01156        0.99987        1.00003        1.33943        0.96082       -0.00155        0.04696       -0.07093        1.00004        0.99985
0.011751        0.01175        0.99985        1.00003        1.33945        0.96082       -0.00157        0.04772       -0.07209        1.00004        0.99985
0.011942        0.01194        0.99983        1.00003        1.33947        0.96082       -0.00160        0.04850       -0.07326        1.00004        0.99984
0.012136        0.01214        0.99981        1.00003        1.33948        0.96082       -0.00162        0.04929       -0.07445        1.00004        0.99984
0.012334        0.01233        0.99979        1.00003        1.33950        0.96082       -0.00165        0.05009       -0.07566        1.00004        0.99983
0.012534        0.01253        0.99978        1.00004        1.33952        0.96082       -0.00168        0.05091       -0.07689        1.00004        0.99982
0.012738        0.01274        0.99976        1.00004        1.33953        0.96081       -0.00170        0.05174       -0.07814        1.00005        0.99982
0.012945        0.01295        0.99973        1.00004        1.33955        0.96081       -0.00173        0.05258       -0.07941        1.00005        0.99981
0.013156        0.01316        0.99971        1.00004        1.33957        0.96081       -0.00176        0.05343       -0.08071        1.00005        0.99981
0.013370        0.01337        0.99969        1.00004        1.33959        0.96081       -0.00179        0.05430       -0.08202        1.00005        0.99980
0.013587        0.01359        0.99967        1.00004        1.33960        0.96081       -0.00182        0.05519       -0.08335        1.00005        0.99979
0.013808        0.01381        0.99965        1.00004        1.33962        0.96081       -0.00185        0.05608       -0.08471        1.00005        0.99979
0.014033        0.01403        0.99963        1.00004        1.33964        0.96081       -0.00188        0.05700       -0.08608        1.00006        0.99978
0.014261        0.01426        0.99961        1.00005        1.33966        0.96081       -0.00191        0.05792       -0.08748        1.00006        0.99977
0.014493        0.01449        0.99958        1.00005        1.33968        0.96081       -0.00194        0.05887       -0.08891        1.00006        0.99977
0.014729        0.01473        0.99956        1.00005        1.33970        0.96080       -0.00197        0.05982       -0.09035        1.00006        0.99976
0.014968        0.01497        0.99954        1.00005        1.33972        0.96080       -0.00200        0.06080       -0.09182        1.00006        0.99975
0.015212        0.01521        0.99951        1.00005        1.33974        0.96080       -0.00203        0.06179       -0.09332        1.00007        0.99974
0.015459        0.01546        0.99949        1.00005        1.33976        0.96080       -0.00207        0.06279       -0.09483        1.00007        0.99974
0.015711        0.01571        0.99946        1.00006        1.33978        0.96080       -0.00210        0.06381       -0.09638        1.00007        0.99973
0.015966        0.01597        0.99944        1.00006        1.33980        0.96080       -0.00214        0.06485       -0.09794        1.00007        0.99972
0.016226        0.01623        0.99941        1.00006        1.33983        0.96080       -0.00217        0.06591       -0.09954        1.00007        0.99971
0.016490        0.01649        0.99939        1.00006        1.33985        0.96079       -0.00221        0.06698       -0.10115        1.00008        0.99971
0.016758        0.01676        0.99936        1.00006        1.33987        0.96079       -0.00224        0.06807       -0.10280        1.00008        0.99970
0.017031        0.01703        0.99934        1.00006        1.33989        0.96079       -0.00228        0.06918       -0.10447        1.00008        0.99969
0.017308        0.01731        0.99931        1.00006        1.33992        0.96079       -0.00232        0.07030       -0.10617        1.00008        0.99968
0.017589        0.01759        0.99928        1.00007        1.33994        0.96079       -0.00235        0.07144       -0.10790        1.00008        0.99967
0.017875        0.01788        0.99925        1.00007        1.33996        0.96079       -0.00239        0.07261       -0.10965        1.00009        0.99966
0.018166        0.01817        0.99922        1.00007        1.33999        0.96079       -0.00243        0.07379       -0.11144        1.00009        0.99965
0.018461        0.01846        0.99920        1.00007        1.34001        0.96078       -0.00247        0.07499       -0.11325        1.00009        0.99965
0.018762        0.01876        0.99917        1.00007        1.34004        0.96078       -0.00251        0.07621       -0.11509        1.00009        0.99964
0.019067        0.01907        0.99914        1.00008        1.34007        0.96078       -0.00255        0.07745       -0.11696        1.00010        0.99963
0.019377        0.01938        0.99911        1.00008        1.34009        0.96078       -0.00259        0.07871       -0.11886        1.00010        0.99962
0.019692        0.01969        0.99908        1.00008        1.34012        0.96078       -0.00263        0.07999       -0.12080        1.00010        0.99961
0.020012        0.02001        0.99904        1.00008        1.34014        0.96078       -0.00268        0.08129       -0.12276        1.00010        0.99960
0.020338        0.02034        0.99900        1.00008        1.34019        0.96077       -0.00272        0.08261       -0.12476        1.00011        0.99958
0.020669        0.02067        0.99894        1.00009        1.34023        0.96077       -0.00277        0.08396       -0.12679        1.00011        0.99957
0.021005        0.02100        0.99889        1.00009        1.34028        0.96077       -0.00281        0.08533       -0.12885        1.00011        0.99955
0.021347        0.02135        0.99883        1.00009        1.34033        0.96077       -0.00286        0.08672       -0.13094        1.00012        0.99953
0.021694        0.02169        0.99877        1.00010        1.34038        0.96076       -0.00290        0.08813       -0.13307        1.00012        0.99952
0.022047        0.02205        0.99871        1.00010        1.34043        0.96076       -0.00295        0.08956       -0.13523        1.00013        0.99950
0.022405        0.02241        0.99866        1.00011        1.34048        0.96076       -0.00300        0.09102       -0.13743        1.00013        0.99948
0.022770        0.02277        0.99859        1.00011        1.34053        0.96075       -0.00305        0.09251       -0.13966        1.00014        0.99946
0.023140        0.02314        0.99853        1.00011        1.34059        0.96075       -0.00310        0.09401       -0.14194        1.00014        0.99944
0.023516        0.02352        0.99847        1.00012        1.34064        0.96075       -0.00315        0.09554       -0.14424        1.00015        0.99942
0.023899        0.02390        0.99841        1.00012        1.34069        0.96074       -0.00320        0.09710       -0.14659        1.00015        0.99941
0.024288        0.02429        0.99834        1.00012        1.34075        0.96074       -0.00325        0.09868       -0.14897        1.00016        0.99939
0.024683        0.02468        0.99828        1.00013        1.34081        0.96074       -0.00330        0.10029       -0.15139        1.00016        0.99937
0.025084        0.02508        0.99821        1.00013        1.34086        0.96073       -0.00336        0.10192       -0.15385        1.00017        0.99935
0.025492        0.02549        0.99815        1.00014        1.34092        0.96073       -0.00341        0.10358       -0.15636        1.00017        0.99933
0.025907        0.02591        0.99808        1.00014        1.34098        0.96073       -0.00347        0.10527       -0.15890        1.00018        0.99930
0.026328        0.02633        0.99801        1.00015        1.34104        0.96072       -0.00352        0.10698       -0.16148        1.00018        0.99928
0.026756        0.02676        0.99794        1.00015        1.34110        0.96072       -0.00358        0.10872       -0.16411        1.00019        0.99926
0.027192        0.02719        0.99786        1.00015        1.34117        0.96072       -0.00364        0.11049       -0.16677        1.00019        0.99924
0.027634        0.02763        0.99779        1.00016        1.34123        0.96071       -0.00370        0.11229       -0.16949        1.00020        0.99922
0.028083        0.02808        0.99772        1.00016        1.34129        0.96071       -0.00376        0.11412       -0.17224        1.00020        0.99920
0.028540        0.02854        0.99764        1.00017        1.34136        0.96070       -0.00382        0.11598       -0.17504        1.00021        0.99917
0.029004        0.02900        0.99757        1.00017        1.34142        0.96070       -0.00388        0.11787       -0.17789        1.00022        0.99915
0.029476        0.02948        0.99749        1.00018        1.34149        0.96070       -0.00395        0.11979       -0.18078        1.00022        0.99913
0.029955        0.02996        0.99741        1.00018        1.34156        0.96069       -0.00401        0.12174       -0.18372        1.00023        0.99910
0.030443        0.03044        0.99731        1.00019        1.34165        0.96069       -0.00408        0.12372       -0.18670        1.00024        0.99907
0.030938        0.03094        0.99719        1.00020        1.34175        0.96068       -0.00414        0.12574       -0.18974        1.00024        0.99904
0.031441        0.03144        0.99707        1.00020        1.34185        0.96067       -0.00421        0.12779       -0.19282        1.00025        0.99900
0.031952        0.03195        0.99696        1.00021        1.34195        0.96067       -0.00428        0.12987       -0.19595        1.00026        0.99896
0.032472        0.03247        0.99684        1.00022        1.34206        0.96066       -0.00435        0.13199       -0.19914        1.00027        0.99893
0.033000        0.03300        0.99671        1.00023        1.34216        0.96066       -0.00442        0.13414       -0.20237        1.00028        0.99889
0.033537        0.03354        0.99659        1.00023        1.34227        0.96065       -0.00449        0.13633       -0.20566        1.00029        0.99885
0.034083        0.03408        0.99646        1.00024        1.34238        0.96064       -0.00457        0.13855       -0.20900        1.00030        0.99882
0.034637        0.03464        0.99634        1.00025        1.34249        0.96064       -0.00464        0.14081       -0.21240        1.00031        0.99878
0.035200        0.03520        0.99621        1.00026        1.34260        0.96063       -0.00472        0.14311       -0.21585        1.00032        0.99874
0.035773        0.03577        0.99607        1.00027        1.34272        0.96062       -0.00480        0.14544       -0.21936        1.00033        0.99870
0.036355        0.03635        0.99594        1.00027        1.34283        0.96061       -0.00487        0.14781       -0.22292        1.00034        0.99866
0.036946        0.03695        0.99580        1.00028        1.34295        0.96061       -0.00495        0.15022       -0.22654        1.00035        0.99861
0.037547        0.03755        0.99566        1.00029        1.34307        0.96060       -0.00503        0.15267       -0.23022        1.00036        0.99857
0.038158        0.03816        0.99552        1.00030        1.34319        0.96059       -0.00512        0.15516       -0.23397        1.00037        0.99853
0.038778        0.03878        0.99538        1.00031        1.34332        0.96059       -0.00520        0.15769       -0.23777        1.00039        0.99849
0.039409        0.03941        0.99523        1.00032        1.34344        0.96058       -0.00529        0.16026       -0.24163        1.00040        0.99844
0.040050        0.04005        0.99509        1.00033        1.34357        0.96057       -0.00537        0.16287       -0.24556        1.00041        0.99840
0.040701        0.04070        0.99490        1.00034        1.34374        0.96056       -0.00546        0.16553       -0.24955        1.00042        0.99834
0.041363        0.04136        0.99470        1.00035        1.34391        0.96055       -0.00555        0.16824       -0.25360        1.00044        0.99828
0.042036        0.04204        0.99450        1.00036        1.34408        0.96054       -0.00564        0.17099       -0.25771        1.00045        0.99822
0.042720        0.04272        0.99430        1.00037        1.34426        0.96053       -0.00573        0.17378       -0.26190        1.00047        0.99816
0.043415        0.04341        0.99409        1.00039        1.34443        0.96052       -0.00583        0.17662       -0.26615        1.00049        0.99809
0.044121        0.04412        0.99388        1.00040        1.34462        0.96051       -0.00592        0.17950       -0.27047        1.00050        0.99803
0.044839        0.04484        0.99367        1.00041        1.34480        0.96050       -0.00602        0.18243       -0.27486        1.00052        0.99797
0.045568        0.04557        0.99345        1.00043        1.34499        0.96048       -0.00612        0.18541       -0.27933        1.00053        0.99790
0.046309        0.04631        0.99323        1.00044        1.34518        0.96047       -0.00622        0.18844       -0.28386        1.00055        0.99783
0.047062        0.04706        0.99301        1.00045        1.34537        0.96046       -0.00632        0.19152       -0.28847        1.00057        0.99777
0.047828        0.04783        0.99278        1.00047        1.34557        0.96045       -0.00642        0.19464       -0.29316        1.00059        0.99770
0.048606        0.04861        0.99255        1.00048        1.34577        0.96044       -0.00653        0.19782       -0.29792        1.00060        0.99763
0.049396        0.04940        0.99232        1.00050        1.34597        0.96042       -0.00664        0.20105       -0.30276        1.00062        0.99756
0.050200        0.05020        0.99207        1.00051        1.34619        0.96041       -0.00675        0.20434       -0.30767        1.00064        0.99748
0.051016        0.05102        0.99178        1.00053        1.34644        0.96040       -0.00686        0.20768       -0.31266        1.00066        0.99739
0.051846        0.05185        0.99148        1.00055        1.34670        0.96038       -0.00697        0.21108       -0.31774        1.00069        0.99730
0.052689        0.05269        0.99117        1.00057        1.34697        0.96036       -0.00709        0.21454       -0.32289        1.00071        0.99721
0.053546        0.05355        0.99086        1.00059        1.34724        0.96035       -0.00720        0.21805       -0.32813        1.00074        0.99711
0.054417        0.05442        0.99054        1.00061        1.34751        0.96033       -0.00732        0.22162       -0.33345        1.00076        0.99702
0.055302        0.05530        0.99022        1.00063        1.34779        0.96031       -0.00744        0.22524       -0.33886        1.00079        0.99692
0.056202        0.05620        0.98990        1.00065        1.34808        0.96030       -0.00756        0.22893       -0.34436        1.00081        0.99682
0.057116        0.05712        0.98957        1.00067        1.34836        0.96028       -0.00769        0.23268       -0.34995        1.00084        0.99672
0.058045        0.05804        0.98923        1.00069        1.34866        0.96026       -0.00782        0.23648       -0.35563        1.00086        0.99662
0.058989        0.05899        0.98889        1.00071        1.34895        0.96024       -0.00794        0.24035       -0.36140        1.00089        0.99652
0.059948        0.05995        0.98854        1.00073        1.34926        0.96022       -0.00807        0.24428       -0.36726        1.00092        0.99641
0.060923        0.06092        0.98813        1.00076        1.34961        0.96020       -0.00821        0.24829       -0.37321        1.00095        0.99629
0.061914        0.06191        0.98771        1.00078        1.34998        0.96018       -0.00834        0.25237       -0.37926        1.00098        0.99616
0.062921        0.06292        0.98728        1.00081        1.35036        0.96016       -0.00848        0.25651       -0.38541        1.00101        0.99603
0.063945        0.06394        0.98684        1.00084        1.35074        0.96013       -0.00862        0.26072       -0.39165        1.00105        0.99590
0.064985        0.06498        0.98639        1.00086        1.35112        0.96011       -0.00877        0.26499       -0.39800        1.00108        0.99576
0.066042        0.06604        0.98594        1.00089        1.35152        0.96008       -0.00891        0.26934       -0.40445        1.00112        0.99562
0.067116        0.06712        0.98548        1.00092        1.35192        0.96006       -0.00906        0.27376       -0.41101        1.00115        0.99548
0.068208        0.06821        0.98502        1.00095        1.35232        0.96003       -0.00921        0.27825       -0.41767        1.00119        0.99534
0.069317        0.06932        0.98454        1.00098        1.35274        0.96001       -0.00936        0.28281       -0.42444        1.00123        0.99520
0.070445        0.07044        0.98404        1.00101        1.35318        0.95998       -0.00952        0.28745       -0.43132        1.00127        0.99505
0.071590        0.07159        0.98347        1.00105        1.35367        0.95995       -0.00967        0.29219       -0.43830        1.00131        0.99488
0.072755        0.07275        0.98290        1.00108        1.35417        0.95992       -0.00984        0.29700       -0.44539        1.00136        0.99470
0.073938        0.07394        0.98231        1.00112        1.35468        0.95989       -0.01000        0.30188       -0.45260        1.00140        0.99452
0.075141        0.07514        0.98172        1.00116        1.35520        0.95986       -0.01017        0.30685       -0.45993        1.00145        0.99435
0.076363        0.07636        0.98112        1.00119        1.35573        0.95982       -0.01034        0.31190       -0.46737        1.00150        0.99416
0.077605        0.07761        0.98050        1.00123        1.35626        0.95979       -0.01051        0.31703       -0.47494        1.00154        0.99398
0.078867        0.07887        0.97988        1.00127        1.35681        0.95976       -0.01068        0.32224       -0.48263        1.00159        0.99379
0.080150        0.08015        0.97925        1.00131        1.35736        0.95972       -0.01086        0.32754       -0.49044        1.00164        0.99360
0.081454        0.08145        0.97852        1.00136        1.35800        0.95968       -0.01104        0.33295       -0.49837        1.00170        0.99338
0.082779        0.08278        0.97778        1.00140        1.35865        0.95964       -0.01123        0.33845       -0.50642        1.00176        0.99315
0.084125        0.08412        0.97703        1.00145        1.35931        0.95960       -0.01142        0.34404       -0.51461        1.00182        0.99292
0.085493        0.08549        0.97626        1.00150        1.35998        0.95956       -0.01161        0.34972       -0.52293        1.00188        0.99269
0.086884        0.08688        0.97548        1.00154        1.36066        0.95952       -0.01180        0.35549       -0.53138        1.00194        0.99246
0.088297        0.08830        0.97469        1.00159        1.36135        0.95947       -0.01200        0.36135       -0.53997        1.00200        0.99222
