x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        1.00000        1.00001        1.00001        0.53448        0.97896       -0.00053        0.01748       -0.03041        1.00001        0.99990
0.010163        1.00000        1.00001        1.00001        0.53448        0.97896       -0.00054        0.01777       -0.03090        1.00001        0.99990
0.010328        0.99999        1.00000        1.00001        0.53448        0.97896       -0.00055        0.01806       -0.03141        1.00001        0.99989
0.010496        0.99999        1.00000        1.00001        0.53448        0.97896       -0.00056        0.01835       -0.03192        1.00001        0.99989
0.010667        0.99998        0.99999        1.00001        0.53448        0.97896       -0.00057        0.01865       -0.03244        1.00001        0.99988
0.010840        0.99998        0.99999        1.00001        0.53448        0.97896       -0.00058        0.01895       -0.03296        1.00001        0.99988
0.011016        0.99997        0.99998        1.00001        0.53448        0.97896       -0.00059        0.01926       -0.03350        1.00001        0.99987
0.011196        0.99996        0.99998        1.00001        0.53448        0.97896       -0.00060        0.01957       -0.03405        1.00001        0.99986
0.011378        0.99996        0.99997        1.00001        0.53448        0.97896       -0.00061        0.01989       -0.03460        1.00002        0.99986
0.011563        0.99995        0.99997        1.00001        0.53448        0.97896       -0.00062        0.02022       -0.03516        1.00002        0.99985
0.011751        0.99995        0.99996        1.00001        0.53448        0.97896       -0.00063        0.02054       -0.03573        1.00002        0.99985
0.011942        0.99994        0.99995        1.00001        0.53448        0.97896       -0.00064        0.02088       -0.03631        1.00002        0.99984
0.012136        0.99993        0.99995        1.00001        0.53449        0.97896       -0.00065        0.02122       -0.03691        1.00002        0.99984
0.012334        0.99993        0.99994        1.00001        0.53449        0.97896       -0.00066        0.02156       -0.03751        1.00002        0.99983
0.012534        0.99992        0.99994        1.00002        0.53449        0.97896       -0.00067        0.02191       -0.03812        1.00002        0.99982
0.012738        0.99992        0.99993        1.00002        0.53449        0.97896       -0.00068        0.02227       -0.03874        1.00002        0.99982
0.012945        0.99991        0.99993        1.00002        0.53449        0.97896       -0.00069        0.02263       -0.03937        1.00002        0.99981
0.013156        0.99990        0.99992        1.00002        0.53449        0.97896       -0.00070        0.02300       -0.04001        1.00002        0.99981
0.013370        0.99990        0.99991        1.00002        0.53449        0.97896       -0.00071        0.02337       -0.04066        1.00002        0.99980
0.013587        0.99989        0.99991        1.00002        0.53449        0.97896       -0.00072        0.02376       -0.04132        1.00002        0.99979
0.013808        0.99988        0.99990        1.00002        0.53449        0.97896       -0.00073        0.02414       -0.04199        1.00002        0.99979
0.014033        0.99988        0.99990        1.00002        0.53449        0.97896       -0.00075        0.02453       -0.04267        1.00002        0.99978
0.014261        0.99987        0.99989        1.00002        0.53449        0.97896       -0.00076        0.02493       -0.04337        1.00002        0.99977
0.014493        0.99986        0.99988        1.00002        0.53449        0.97896       -0.00077        0.02534       -0.04407        1.00003        0.99977
0.014729        0.99985        0.99988        1.00002        0.53449        0.97896       -0.00078        0.02575       -0.04479        1.00003        0.99976
0.014968        0.99985        0.99987        1.00002        0.53449        0.97896       -0.00080        0.02617       -0.04552        1.00003        0.99975
0.015212        0.99984        0.99986        1.00002        0.53450        0.97896       -0.00081        0.02660       -0.04626        1.00003        0.99974
0.015459        0.99983        0.99985        1.00002        0.53450        0.97896       -0.00082        0.02703       -0.04701        1.00003        0.99974
0.015711        0.99982        0.99985        1.00002        0.53450        0.97896       -0.00084        0.02747       -0.04777        1.00003        0.99973
0.015966        0.99982        0.99984        1.00002        0.53450        0.97896       -0.00085        0.02791       -0.04855        1.00003        0.99972
0.016226        0.99981        0.99983        1.00002        0.53450        0.97896       -0.00086        0.02837       -0.04934        1.00003        0.99971
0.016490        0.99980        0.99983        1.00003        0.53450        0.97896       -0.00088        0.02883       -0.05014        1.00003        0.99971
0.016758        0.99979        0.99982        1.00003        0.53450        0.97896       -0.00089        0.02930       -0.05096        1.00003        0.99970
0.017031        0.99978        0.99981        1.00003        0.53450        0.97895       -0.00091        0.02978       -0.05179        1.00003        0.99969
0.017308        0.99977        0.99980        1.00003        0.53450        0.97895       -0.00092        0.03026       -0.05263        1.00003        0.99968
0.017589        0.99977        0.99979        1.00003        0.53450        0.97895       -0.00094        0.03075       -0.05349        1.00004        0.99967
0.017875        0.99976        0.99979        1.00003        0.53450        0.97895       -0.00095        0.03125       -0.05436        1.00004        0.99966
0.018166        0.99975        0.99978        1.00003        0.53451        0.97895       -0.00097        0.03176       -0.05524        1.00004        0.99965
0.018461        0.99974        0.99977        1.00003        0.53451        0.97895       -0.00098        0.03228       -0.05614        1.00004        0.99965
0.018762        0.99973        0.99976        1.00003        0.53451        0.97895       -0.00100        0.03280       -0.05705        1.00004        0.99964
0.019067        0.99972        0.99975        1.00003        0.53451        0.97895       -0.00101        0.03334       -0.05798        1.00004        0.99963
0.019377        0.99971        0.99974        1.00003        0.53451        0.97895       -0.00103        0.03388       -0.05892        1.00004        0.99962
0.019692        0.99970        0.99973        1.00003        0.53451        0.97895       -0.00105        0.03443       -0.05988        1.00004        0.99961
0.020012        0.99969        0.99973        1.00003        0.53451        0.97895       -0.00106        0.03499       -0.06085        1.00004        0.99960
0.020338        0.99967        0.99971        1.00004        0.53451        0.97895       -0.00108        0.03556       -0.06184        1.00005        0.99958
0.020669        0.99966        0.99969        1.00004        0.53452        0.97895       -0.00110        0.03614       -0.06285        1.00005        0.99957
0.021005        0.99964        0.99968        1.00004        0.53452        0.97895       -0.00112        0.03673       -0.06387        1.00005        0.99955
0.021347        0.99962        0.99966        1.00004        0.53452        0.97895       -0.00114        0.03732       -0.06491        1.00005        0.99953
0.021694        0.99960        0.99964        1.00004        0.53452        0.97895       -0.00115        0.03793       -0.06597        1.00005        0.99952
0.022047        0.99958        0.99962        1.00004        0.53452        0.97895       -0.00117        0.03855       -0.06704        1.00005        0.99950
0.022405        0.99956        0.99961        1.00005        0.53453        0.97895       -0.00119        0.03918       -0.06813        1.00006        0.99948
0.022770        0.99954        0.99959        1.00005        0.53453        0.97895       -0.00121        0.03981       -0.06924        1.00006        0.99946
0.023140        0.99952        0.99957        1.00005        0.53453        0.97895       -0.00123        0.04046       -0.07036        1.00006        0.99944
0.023516        0.99950        0.99955        1.00005        0.53453        0.97895       -0.00125        0.04112       -0.07151        1.00006        0.99942
0.023899        0.99948        0.99953        1.00005        0.53454        0.97895       -0.00127        0.04179       -0.07267        1.00006        0.99941
0.024288        0.99946        0.99951        1.00005        0.53454        0.97895       -0.00129        0.04247       -0.07385        1.00007        0.99939
0.024683        0.99944        0.99949        1.00006        0.53454        0.97895       -0.00131        0.04316       -0.07505        1.00007        0.99937
0.025084        0.99941        0.99947        1.00006        0.53455        0.97895       -0.00133        0.04386       -0.07627        1.00007        0.99935
0.025492        0.99939        0.99945        1.00006        0.53455        0.97895       -0.00136        0.04458       -0.07751        1.00007        0.99933
0.025907        0.99937        0.99943        1.00006        0.53455        0.97895       -0.00138        0.04530       -0.07877        1.00008        0.99930
0.026328        0.99935        0.99941        1.00006        0.53455        0.97895       -0.00140        0.04604       -0.08005        1.00008        0.99928
0.026756        0.99932        0.99939        1.00006        0.53456        0.97895       -0.00142        0.04679       -0.08135        1.00008        0.99926
0.027192        0.99930        0.99936        1.00007        0.53456        0.97895       -0.00145        0.04755       -0.08268        1.00008        0.99924
0.027634        0.99927        0.99934        1.00007        0.53456        0.97894       -0.00147        0.04832       -0.08402        1.00009        0.99922
0.028083        0.99925        0.99932        1.00007        0.53457        0.97894       -0.00149        0.04911       -0.08539        1.00009        0.99920
0.028540        0.99922        0.99930        1.00007        0.53457        0.97894       -0.00152        0.04991       -0.08678        1.00009        0.99917
0.029004        0.99920        0.99927        1.00007        0.53457        0.97894       -0.00154        0.05072       -0.08819        1.00009        0.99915
0.029476        0.99917        0.99925        1.00008        0.53458        0.97894       -0.00157        0.05155       -0.08962        1.00010        0.99913
0.029955        0.99915        0.99922        1.00008        0.53458        0.97894       -0.00159        0.05238       -0.09108        1.00010        0.99910
0.030443        0.99911        0.99919        1.00008        0.53458        0.97894       -0.00162        0.05324       -0.09256        1.00010        0.99907
0.030938        0.99907        0.99916        1.00008        0.53459        0.97894       -0.00165        0.05410       -0.09406        1.00011        0.99904
0.031441        0.99903        0.99912        1.00009        0.53459        0.97894       -0.00167        0.05499       -0.09559        1.00011        0.99900
0.031952        0.99899        0.99909        1.00009        0.53460        0.97894       -0.00170        0.05588       -0.09715        1.00011        0.99896
0.032472        0.99895        0.99905        1.00009        0.53460        0.97894       -0.00173        0.05679       -0.09873        1.00012        0.99893
0.033000        0.99891        0.99901        1.00010        0.53461        0.97894       -0.00176        0.05772       -0.10033        1.00012        0.99889
0.033537        0.99887        0.99897        1.00010        0.53461        0.97894       -0.00178        0.05865       -0.10196        1.00013        0.99885
0.034083        0.99883        0.99893        1.00010        0.53462        0.97894       -0.00181        0.05961       -0.10362        1.00013        0.99882
0.034637        0.99879        0.99890        1.00011        0.53462        0.97893       -0.00184        0.06058       -0.10530        1.00013        0.99878
